spectral_radius,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
0.1,7,gypsum,24,567.091882160083,899.5262805626762,0.02420807733974871,470.6653407842934,75.77414769398007
0.1,8,iron,24,4576.036696209615,5581.213967036642,0.1502017920801533,-1333.0534615672134,19.649207236358627
0.1,9,nickel,24,5637.940803533387,6661.430636535294,0.17927261440515715,-4060.0598436276982,32.51583168770696
0.1,10,pdms,24,185.2981038039762,224.32977634714698,0.006037169444369422,-171.1494772740542,45.68502419113265
0.1,11,ps_foam,24,186.66525845761575,281.5925720726118,0.007579859517314065,186.66525845761575,428.0872734293302
0.1,12,pu_foam,24,155.28899035900756,276.21292287378196,0.007433450187785434,154.90708133491256,155.32588280217956
0.1,13,titanium,24,5318.423721013202,6314.099134158414,0.16992521894405838,4661.849581249103,67.59925632552026
0.1,14,wood,24,1662.4247361677062,3409.631335775142,0.0917600973535138,1303.7774535039055,60.87498054401921
0.3,1,aluminum,24,8527.94558711699,9319.327228789978,0.25080200454827567,-8204.069763134139,36.724926732304425
0.3,2,bismuth,24,9305.908518240423,9872.020690198124,0.26567610700426225,9305.908518240423,283.3493893462443
0.3,3,cement,24,172.0594971569325,218.8189772587087,0.005888862659543434,18.655019155640638,26.218522593085254
0.3,4,copper,24,24284.782035627493,24653.59783692371,1.030513785562399,-24284.782035627493,63.57667900700117
0.3,5,cork,24,162.08605854390092,193.2191230945905,0.005199918642139507,98.16803108285923,100.49941949755956
0.3,6,graphite,24,3428.9493485523417,4474.883085403657,0.12042818332113986,-1314.6973735921385,28.74135851225302
0.3,7,gypsum,24,825.9356738797661,1419.1863967991717,0.038193185452839964,714.8522310685138,60.58059732819936
0.3,8,iron,24,4604.404385554233,5915.037061608627,0.1591856488787983,-996.4628447052341,18.296230883707626
0.3,9,nickel,24,6505.018155762715,7204.776580759746,0.19389515620771192,-4180.721166327351,34.104830949081425
0.3,10,pdms,24,199.81655522974043,233.82849860877835,0.006292799333242183,-179.859093352325,50.72120834255407
0.3,11,ps_foam,24,160.149172779939,220.9913835593399,0.00594860734282695,160.149172779939,390.1268645417239
0.3,12,pu_foam,24,154.2748917677329,308.362060885983,0.008298648721972553,154.05840126255202,141.64161666957514
0.3,13,titanium,24,4813.403186073967,5794.128191075343,0.15593174584986122,4144.820867598929,58.294953201738984
0.3,14,wood,24,1790.7510433055133,3701.685872325641,0.09961987750781505,1443.2977726478366,59.247435163728824
0.5,1,aluminum,24,8638.368630257943,9440.26817920441,0.25405677091190415,-8462.300075905407,36.89749706554406
0.5,2,bismuth,24,9372.23774865492,9858.806480653055,0.2653204858139057,9372.23774865492,291.1664626936008
0.5,3,cement,24,162.91665028743463,191.14728217346521,0.005144161199207563,0.7165775611989057,26.593649054794877
0.5,4,copper,24,24380.68467014151,24758.585036255303,1.0349022223712754,-24380.68467014151,64.33976322697971
0.5,5,cork,24,164.90968977754014,193.48598868519142,0.005207100536650186,96.6824612878865,98.40426521854721
0.5,6,graphite,24,3760.709005381494,4443.6171522781215,0.11958675362246678,-438.49681715496416,30.307639175920308
0.5,7,gypsum,24,1715.4282466641898,3357.4872290722196,0.09035679364226831,1586.5746529265596,58.90973868480579
0.5,8,iron,24,4694.919237183584,5831.416165827758,0.15693524090737573,-812.2077584422135,22.430022539578875
0.5,9,nickel,24,5980.108596300909,6762.287900446204,0.1819868880153773,-4572.754857733602,30.943552276082826
0.5,10,pdms,24,185.8931493032727,227.94541313540597,0.006134473566432274,-169.96245771398202,45.33629336253479
0.5,11,ps_foam,24,146.6276088811343,201.04203215468638,0.0054116141970354,146.6276088811343,356.6901886941027
0.5,12,pu_foam,24,108.50912608044257,145.42937444499307,0.003913799541057839,107.80865447119027,142.9413246096017
0.5,13,titanium,24,5122.319459402959,6030.554490111932,0.16229445726352681,4377.389810198755,60.19568131993762
0.5,14,wood,24,1195.9390982380016,2828.3576692747,0.07611684358954382,851.4520766224123,59.91912256521981
0.7,1,aluminum,24,8547.665934199458,9500.159784997742,0.2556685755432706,-8399.992724899004,38.04483662009833
0.7,2,bismuth,24,8899.984384939642,9620.434168686219,0.2589054032438465,8899.984384939642,271.87562386494307
0.7,3,cement,24,165.22827735754367,202.2176608828831,0.0054420875519654395,10.821527300443153,26.722956644777806
0.7,4,copper,24,24398.899296877626,24777.53927001792,1.0356945042652348,-24398.899296877626,65.16042970883605
0.7,5,cork,24,148.4462773418506,174.51330853074006,0.0046965072183160345,84.15023900881364,93.32894449401262
0.7,6,graphite,24,3703.064640944193,4655.954954106305,0.1253011947009348,-586.8640656901204,30.614309361081904
0.7,7,gypsum,24,793.6258236108724,1403.3148212172887,0.03776604915066373,686.9807916645559,57.49753928579573
0.7,8,iron,24,4524.909241110662,5606.179708931203,0.150873670849776,-1041.044740321554,21.5606357671203
0.7,9,nickel,24,5927.792108500048,6834.8129165335895,0.18393868335081956,-4485.616016316501,31.154293844094884
0.7,10,pdms,24,176.67465849075913,220.8882070674857,0.005944549832144164,-155.1224213217701,41.538870673076374
0.7,11,ps_foam,24,169.33001682401218,248.44411348645477,0.006687575117021777,169.33001682401218,381.1018577775001
0.7,12,pu_foam,24,133.4581550003858,229.2805089722548,0.006170403704297948,132.79143149201659,140.5987827894673
0.7,13,titanium,24,5146.746905556388,6064.2899251261815,0.1632023462686198,4454.443334639945,64.7346669275493
0.7,14,wood,24,1777.4684081465505,3605.280839861711,0.09702542247936612,1436.323364180226,62.69193023845246
0.9,1,aluminum,24,8727.536756682097,9488.462018933937,0.2553537649238435,-8245.505474464977,36.858728336946875
0.9,2,bismuth,24,8619.14433434828,9176.45211240449,0.2469569452741631,8619.14433434828,270.6421229812457
0.9,3,cement,24,146.40049826396566,173.7641352664319,0.004676345445708458,19.530911370945535,24.698214269221072
0.9,4,copper,24,24097.304890749696,24513.04839036248,1.0246388563454718,-24097.304890749696,62.47928009189141
0.9,5,cork,24,147.80945570098825,175.9222336047846,0.004734424250753427,85.2752312734553,83.3059168140982
0.9,6,graphite,24,3138.5951415681084,4147.667876200514,0.11162215812510357,-1322.450148996327,22.937035931256037
0.9,7,gypsum,24,860.587177790644,1532.0069888922108,0.04122941649791418,758.4341137572479,56.27458025040234
0.9,8,iron,24,4478.009291295124,5629.360602747648,0.15149751573617773,-887.2745105580985,20.471442745615242
0.9,9,nickel,24,5930.70499115768,6865.033414096589,0.1847519782573265,-4849.293852416761,31.260545599877894
0.9,10,pdms,24,176.39928959310092,218.6784575965478,0.005885080990321697,-158.41705592887322,41.72057246877115
0.9,11,ps_foam,24,173.35541523531552,243.36265985071296,0.006550793438374601,173.35541523531552,346.94415422028726
0.9,12,pu_foam,24,136.45355405162823,242.9184262968602,0.006537427730700634,135.786830543259,154.25547049213262
0.9,13,titanium,24,5095.378755057257,6177.955356275693,0.16626131364687363,4397.618017257132,57.863718417226664
0.9,14,wood,24,1566.019161528068,3225.076597225769,0.0867933548794355,1225.315844034386,59.82525679704715
1.0,1,aluminum,24,9131.792948359614,9835.732465970443,0.26469951726185215,-8734.37950468416,38.24427814493614
1.0,2,bismuth,24,8952.904164399277,9362.67488574542,0.2519685779489081,8952.904164399277,260.7311676065952
1.0,3,cement,24,162.17165330343505,194.8190053544907,0.005242974719898492,-0.5132827445872342,25.352646586393085
1.0,4,copper,24,24169.07347256393,24565.447251118516,1.02682911468886,-24169.07347256393,64.66839549084766
1.0,5,cork,24,151.8242525856829,179.78705980312807,0.004838434565444468,86.72003674471769,97.37644449764579
1.0,6,graphite,24,3651.482375912364,4594.67357727233,0.12365198851103315,-1075.8710584540638,25.575314490967564
