leak_rate,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
0.3,2,bismuth,24,8619.14433434828,9176.45211240449,0.2469569452741631,8619.14433434828,270.6421229812457
0.3,3,cement,24,146.40049826396566,173.7641352664319,0.004676345445708458,19.530911370945535,24.698214269221072
0.3,4,copper,24,24097.304890749696,24513.04839036248,1.0246388563454718,-24097.304890749696,62.47928009189141
0.3,5,cork,24,147.80945570098825,175.9222336047846,0.004734424250753427,85.2752312734553,83.3059168140982
0.3,6,graphite,24,3138.5951415681084,4147.667876200514,0.11162215812510357,-1322.450148996327,22.937035931256037
0.3,7,gypsum,24,860.587177790644,1532.0069888922108,0.04122941649791418,758.4341137572479,56.27458025040234
0.3,8,iron,24,4478.009291295124,5629.360602747648,0.15149751573617773,-887.2745105580985,20.471442745615242
0.3,9,nickel,24,5930.70499115768,6865.033414096589,0.1847519782573265,-4849.293852416761,31.260545599877894
0.3,10,pdms,24,176.39928959310092,218.6784575965478,0.005885080990321697,-158.41705592887322,41.72057246877115
0.3,11,ps_foam,24,173.35541523531552,243.36265985071296,0.006550793438374601,173.35541523531552,346.94415422028726
0.3,12,pu_foam,24,136.45355405162823,242.9184262968602,0.006537427730700634,135.786830543259,154.25547049213262
0.3,13,titanium,24,5095.378755057257,6177.955356275693,0.16626131364687363,4397.618017257132,57.863718417226664
0.3,14,wood,24,1566.019161528068,3225.076597225769,0.0867933548794355,1225.315844034386,59.82525679704715
0.5,1,aluminum,24,9084.942828662892,9913.879011804287,0.26680259936879913,-8938.421420577715,39.41009478572916
0.5,2,bismuth,24,8752.98648726169,9284.374837795189,0.2498613647885549,8752.98648726169,290.18000585710627
0.5,3,cement,24,187.2101776989247,228.51075794227697,0.006149688142264119,27.110119321113732,28.662772952592263
0.5,4,copper,24,24147.666976727884,24476.710179456735,1.0231199288636192,-24147.666976727884,64.44821648651863
0.5,5,cork,24,157.90913411141238,186.268665760374,0.005012867732867477,91.33706205899472,83.25516522482353
0.5,6,graphite,24,2707.8045199422236,3485.77087136631,0.09380916674262668,-1264.0577370225856,17.944877128009402
0.5,7,gypsum,24,954.3847163360406,1849.0127395572686,0.04976068444980156,849.9875587255774,55.88284609130052
0.5,8,iron,24,4236.319271899508,5574.651839895116,0.15002519192428462,-587.9455480201215,20.455683824594217
0.5,9,nickel,24,6337.232022950215,7111.30941980073,0.19137976526237205,-4178.032038723185,31.553966024848705
0.5,10,pdms,24,180.19573697613382,220.51537134128418,0.00593451606627213,-165.72954199463183,43.6281353651213
0.5,11,ps_foam,24,175.52259757487784,260.2770958962151,0.0070060932642749775,175.52259757487784,361.44393343646465
0.5,12,pu_foam,24,133.29484172563244,236.95784174362737,0.0063770163064068245,132.6833024594037,155.41974581044576
0.5,13,titanium,24,4869.348963119322,6004.269286848434,0.16158706911129211,4462.0792734962815,62.91028674715341
0.5,14,wood,24,1425.558785212421,2996.997355021612,0.08065527970122528,1080.055127278201,62.37483922554621
0.7,1,aluminum,24,8968.660773337913,10152.964719821339,0.27323688087404313,-8820.779718985375,41.54386672126223
0.7,2,bismuth,24,8714.728342459173,9255.64246941661,0.2490881184577999,8714.728342459173,280.26803611530715
0.7,3,cement,24,171.5536835582997,223.39507154186242,0.006012014641552534,34.57753248164977,28.902853725928328
0.7,4,copper,24,24224.707629532786,24579.854252072935,1.0274313234695154,-24224.707629532786,65.38839913606446
0.7,5,cork,24,152.7960498481406,180.79295654830494,0.0048655052878115905,87.7631757174759,90.20781955249258
0.7,6,graphite,24,3389.79936265779,4347.97743182308,0.11701289469298742,-1262.8807698255912,20.845680316396965
0.7,7,gypsum,24,1080.5925164294079,2094.9050688694224,0.05637814594466315,976.8449958593665,58.62993458141409
0.7,8,iron,24,4025.791124131944,5073.811462353608,0.13654656116453665,-196.5861018124392,18.899709506627794
0.7,9,nickel,24,6106.20317366636,7010.12935445432,0.1886568044105617,-4808.3275709497475,30.438219304530595
0.7,10,pdms,24,185.4121424785509,224.91801460096633,0.0060530001293092215,-172.20675792048428,44.46287994202442
0.7,11,ps_foam,24,156.7062958602162,215.48673573828114,0.005800434197247118,156.7062958602162,400.9938190257038
0.7,12,pu_foam,24,120.33188603885128,204.14681310659284,0.005494004952535994,120.0956870224259,144.65801230636944
0.7,13,titanium,24,4922.230768539244,5971.337540921314,0.16070080901021092,4392.100652755179,54.836345627905935
0.7,14,wood,24,1796.2562248300019,3611.7014373543857,0.09719821378522195,1449.3206664475128,61.49260814918092
0.9,1,aluminum,24,9902.040125483638,10616.891186895327,0.2857220834051558,-9510.10530594013,41.361869663680785
0.9,2,bismuth,24,8792.806304698757,9218.492796742386,0.24808834538982302,8792.806304698757,284.9387657285166
0.9,3,cement,24,168.8830873498625,207.14921211041212,0.0055748056015662555,19.296674335829987,24.517671088708752
0.9,4,copper,24,24509.077110937407,24890.550940264067,1.0404183618088045,-24509.077110937407,65.55050968820892
0.9,5,cork,24,149.56602624401148,175.61321457998366,0.004726107921799529,82.99782527782247,84.64004961949497
