window_end_s,fold,held_out_material,rmse,nrmse_training_range,bias
3.5,10,pdms,343.0504567301013,0.009232183836545253,-40.35789113988534
3.5,11,ps_foam,204.94068854354757,0.005516557546628537,150.9245814147134
3.5,12,pu_foam,160.5348070409866,0.004320317380987357,126.59749268256564
3.5,13,titanium,6799.4531256835535,0.18298707963438388,4269.659197337969
3.5,14,wood,1215.1645570893443,0.0327025437879807,406.04121158046763
4.0,1,aluminum,11225.79845212576,0.3021090133792447,-9878.296122183618
4.0,2,bismuth,8857.205255800001,0.23836536461426414,7605.224729517006
4.0,3,cement,3822.2797650277876,0.10286530384422937,1998.279855335586
4.0,4,copper,25576.755553339066,1.0691015308199907,-25177.002375084005
4.0,5,cork,128.70624613450502,0.0034637462271628833,31.84992705198829
4.0,6,graphite,5519.459503355421,0.14853985416330379,126.90016906465416
4.0,7,gypsum,3526.624939868363,0.09490863261851243,1647.1223357946692
4.0,8,iron,5445.309215677879,0.1465443194717107,761.9276310977172
4.0,9,nickel,7431.449216912045,0.19999537676307702,-4154.026287855129
4.0,10,pdms,359.73648547180443,0.009681238725769554,-86.1784844969715
4.0,11,ps_foam,226.0305803217905,0.006084251558362685,160.18478604779037
4.0,12,pu_foam,158.3570697522317,0.004261710051939831,117.0952917611891
4.0,13,titanium,6802.995133411923,0.18308240224905248,4912.248110301836
4.0,14,wood,1227.8995781136186,0.03304526904297394,400.6334323637013
4.5,1,aluminum,12328.967264072078,0.3317975244271822,-10765.630676220077
4.5,2,bismuth,9029.332653275587,0.24299766212509635,8074.4375692793765
4.5,3,cement,1669.309883478552,0.04492451597742951,805.997834766738
4.5,4,copper,24651.721788588085,1.0304353672445117,-24212.9728035508
4.5,5,cork,129.42467581462057,0.0034830806275414124,44.87456915295204
4.5,6,graphite,4824.561224584505,0.12983873153993597,-1420.9876584906845
4.5,7,gypsum,3580.769692015472,0.09636577775795054,1753.6395267278967
4.5,8,iron,6365.398063992423,0.171305777230906,1749.3855371849568
4.5,9,nickel,6589.664234719154,0.17734123491897488,-3326.389467379869
4.5,10,pdms,255.31982975147525,0.006871174659987632,-101.77889003108
4.5,11,ps_foam,208.93276316762214,0.005624015511909371,145.7335383556822
4.5,12,pu_foam,132.6717610921054,0.0035704662806620114,105.96741834047378
4.5,13,titanium,7134.411490096886,0.19200148884791068,5203.838137157305
4.5,14,wood,1456.708947437549,0.03920299342339785,509.49178899847703
5.0,1,aluminum,10746.376428311127,0.2892067939759119,-9570.533630321639
5.0,2,bismuth,8793.780619295907,0.23665847895798722,7877.287799178465
5.0,3,cement,3335.3092110140174,0.08975993817734575,1692.262303913467
