condition,channel_set,held_out_material,n,mae,rmse,nrmse_global_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,copper,24,25175.68507365171,25504.824654261138,0.6863865804797497,-25175.68507365171,68.19148843277684
A_not_baseline_centered,P_delta_dP,copper,24,24149.719629722673,24526.577535636945,0.6600599656639742,-24149.719629722673,62.144998217888016
A_not_baseline_centered,S_delta_dS,copper,24,24690.884692521067,25011.568144003064,0.6731120469761896,-24690.884692521067,66.2174369747826
A_not_baseline_centered,P_dP,copper,24,23685.560677221587,23967.35095231661,0.6450100436416917,-23685.560677221587,60.24742108175241
A_not_baseline_centered,S_dS,copper,24,26849.656514284852,27263.559112994975,0.7337176932188658,-26849.656514284852,68.95844292014792
A_not_baseline_centered,delta,copper,24,24905.506322024103,25115.849698561993,0.6759184751955993,-24905.506322024103,66.51854697251319
A_not_baseline_centered,P,copper,24,23798.28408708691,24275.327673925298,0.6532983221018627,-23798.28408708691,63.704918155235205
A_not_baseline_centered,S,copper,24,25513.167395496872,25958.921639608314,0.6986072517136739,-25513.167395496872,66.57842452526322
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,cork,24,108.2666619720319,127.91267833620229,0.003442389707569448,66.8067455920794,65.72790659596784
A_not_baseline_centered,P_delta_dP,cork,24,101.71099006718411,123.39680405977865,0.0033208583681272447,58.656508182645645,67.59500416419843
A_not_baseline_centered,S_delta_dS,cork,24,81.1567610609546,110.3518338472992,0.0029697917515956146,42.972055612156346,43.02964192716278
A_not_baseline_centered,P_dP,cork,24,106.63438267634649,124.08333191142613,0.0033393342255732083,48.2709696575941,64.79017938702309
A_not_baseline_centered,S_dS,cork,24,97.52711303662956,129.0749872535716,0.0034736697988489995,76.90713056110091,50.77746583524523
A_not_baseline_centered,delta,cork,24,102.14547651845908,136.61856250754647,0.0036766827147720425,67.61825434548405,52.53173915829697
A_not_baseline_centered,P,cork,24,106.24117199682435,127.0534886120165,0.0034192671688042697,45.2316854364228,65.94324710196582
A_not_baseline_centered,S,cork,24,109.14179851451212,141.3106721835532,0.003802956906396886,77.81878365592242,52.731218422362566
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,graphite,24,3754.6808349274834,4567.811300662538,0.12292907014417366,-447.499709543202,26.897134825994133
A_not_baseline_centered,P_delta_dP,graphite,24,3764.8634075265486,4828.041264612614,0.12993238647805871,-1944.2997409932614,31.76585262485354
A_not_baseline_centered,S_delta_dS,graphite,24,3648.073051657906,4620.590179060192,0.12434945684966979,-2045.5396206014157,30.66855358787153
A_not_baseline_centered,P_dP,graphite,24,3677.0312740247978,4550.479733297213,0.1224626425007963,-250.68650933432613,29.293652944005178
A_not_baseline_centered,S_dS,graphite,24,4796.376929100202,5831.48363076316,0.15693705652567308,1622.2445311116378,30.35163682869811
A_not_baseline_centered,delta,graphite,24,6054.926114130324,6815.134065022962,0.1834090855284761,-2479.700023535172,48.282426425692506
A_not_baseline_centered,P,graphite,24,4131.324203035038,5075.430972198993,0.13659014546044523,-2503.523462391509,32.26624168355254
A_not_baseline_centered,S,graphite,24,4410.519321204064,5346.667577791085,0.1438896728532825,754.8577080932458,33.29778385484504
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,gypsum,24,1980.1478305392793,3773.8045715288968,0.10156073803149249,1830.0845789807724,60.0480646977793
A_not_baseline_centered,P_delta_dP,gypsum,24,1083.541216910399,2128.5289417524505,0.0572830325864465,1006.1719674432628,27.31303406983312
A_not_baseline_centered,S_delta_dS,gypsum,24,3023.4902439418024,6085.329745270775,0.16376857051829496,2880.364209641783,51.592511651363374
A_not_baseline_centered,P_dP,gypsum,24,645.8682969553942,1144.8324968922493,0.03080976534503169,583.7544638744015,54.38389288233738
A_not_baseline_centered,S_dS,gypsum,24,2237.619198064523,3167.132982475402,0.08523397463948958,2068.213772021832,505.611975851764
A_not_baseline_centered,delta,gypsum,24,1124.2494565946445,2169.8698376983552,0.058395599976614296,967.3186157972632,55.7372132725037
A_not_baseline_centered,P,gypsum,24,1367.8788736274182,2793.5405650949674,0.07517984467251182,1283.160905668903,55.17960285832303
A_not_baseline_centered,S,gypsum,24,1477.8408871298204,2128.4871721259324,0.057281908481046744,1316.340006235343,280.537904243157
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,iron,24,4121.911953525602,5088.31620605547,0.13693691324753335,604.153922330356,18.42863322797142
A_not_baseline_centered,P_delta_dP,iron,24,3908.4017533554834,4946.432931154815,0.1331185464402141,1651.4161157982378,20.987623674353966
A_not_baseline_centered,S_delta_dS,iron,24,4500.116597364154,5329.054768177548,0.14341567641036804,491.5597247392099,22.93799673357912
A_not_baseline_centered,P_dP,iron,24,3332.1893849201538,4038.409586564952,0.10868179586703604,1013.6283485998874,17.70667984001431
