input_magnitude,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1.64,10,pdms,24,182.82233058019696,218.8447872752732,0.00588955725945745,-176.30201477888613,41.68645410180135
1.64,11,ps_foam,24,129.7792096617861,175.48304041104385,0.004723621735462073,129.7792096617861,337.2834194388549
1.64,12,pu_foam,24,149.96923841568525,267.18264932035856,0.007190427204128284,149.8368957714532,195.99655971696237
1.64,13,titanium,24,5041.942821626267,6063.774633271009,0.16318847871927508,4543.439516551837,60.7123909500968
1.64,14,wood,24,1548.5127321737182,3235.5579457136837,0.0870754292337963,1240.5253170085273,60.45425856891011
2.0,1,aluminum,24,8351.980233041146,9532.901851804012,0.2565497309943527,-8142.63362964347,31.708837360907843
2.0,2,bismuth,24,8997.90330990709,9811.92406174541,0.264058784797143,8997.90330990709,279.1012045124507
2.0,3,cement,24,104.57359992133247,119.96571226784347,0.003228520726355414,-14.600313579209084,18.779394071360983
2.0,4,copper,24,23733.270846695872,24176.797067929594,1.0105836411402613,-23733.270846695872,62.981225415251416
2.0,5,cork,24,144.2171616392115,171.3884759001959,0.0046124116319740055,77.05727112771692,79.23854430980151
2.0,6,graphite,24,3991.2226022854315,4886.7367691859745,0.13151200159871831,-1751.0250815185711,26.936931134643054
2.0,7,gypsum,24,488.92254051286346,718.8060838600181,0.019344530167012472,362.7700936427732,56.030313268429886
2.0,8,iron,24,4611.767408970904,5611.705833988314,0.15102239008751522,-783.632427496033,20.05190539838189
2.0,9,nickel,24,5699.775147508294,6608.610201183918,0.17785110931771775,-3938.823990220581,33.41384438179376
2.0,10,pdms,24,180.75286006389442,217.8261111889131,0.00586214261908993,-176.048479614159,39.64804031025728
2.0,11,ps_foam,24,129.9031554298481,178.81060507530486,0.004813192538073205,129.9031554298481,254.80162843589417
2.0,12,pu_foam,24,146.53204449215892,260.2190797296042,0.007003023417428181,146.44363327916736,202.10583273598584
2.0,13,titanium,24,5061.145526161857,6135.15358938784,0.16510943125556551,4502.353660432045,64.30981769343008
2.0,14,wood,24,1546.3077383959135,3249.400712225008,0.08744796616745054,1234.7939729974325,57.762508687608126
3.0,1,aluminum,24,8091.844367092034,9493.892452342967,0.2554999089051755,-7787.252126008488,27.79820669207473
3.0,2,bismuth,24,9481.957699012994,10299.623940312336,0.27718377806754424,9481.957699012994,291.1795023832959
3.0,3,cement,24,142.8083407084147,167.28245194764648,0.004501910196329456,-6.571915701198006,26.302167368776587
3.0,4,copper,24,24266.45164300121,24698.275831555886,1.0323813137700175,-24266.45164300121,64.27831157293944
3.0,5,cork,24,156.65310586686192,184.2713498173179,0.004959115908305808,90.37103804727889,90.19953706308995
3.0,6,graphite,24,4121.848014272737,4925.448103576019,0.13255380215206386,-1679.0809405544867,27.467171113492796
3.0,7,gypsum,24,469.80694543704425,684.648875904105,0.018425290396286275,340.357761743766,52.4186031518894
3.0,8,iron,24,4472.5603912842735,5540.3858450704965,0.14910302447819407,-947.5999432295397,24.046092939523273
3.0,9,nickel,24,5455.749987631204,6481.755322458738,0.1744371871439457,-4241.357701971882,28.654900931068706
3.0,10,pdms,24,182.26344075778334,218.42563663248907,0.0058782770652076755,-176.591199137271,36.999045472637015
3.0,11,ps_foam,24,148.48184823490286,222.19654289443406,0.005981047610653467,148.48184823490286,268.14061894682834
3.0,12,pu_foam,24,144.96629209186662,270.1276420150783,0.007269682932903852,144.67070043182648,190.12343728972724
3.0,13,titanium,24,4935.105822992023,5887.746226302247,0.15845119712787234,4465.428102977618,64.96849112461176
3.0,14,wood,24,1536.0025989072692,3208.042003325085,0.0863349193945478,1227.7073074730558,60.66519169583011
5.0,1,aluminum,24,8062.60724381046,9591.982892818043,0.2581397216828803,-7906.748541888479,28.523014184192974
5.0,2,bismuth,24,9492.66351295071,10466.986601570363,0.28168784685915993,9492.66351295071,278.25021133681435
5.0,3,cement,24,152.76169836441136,175.20787294991482,0.004715199356100272,-19.34992066539071,25.437519119432505
5.0,4,copper,24,23941.44960340974,24464.618982778364,1.0226145200813626,-23941.44960340974,63.35340562674126
5.0,5,cork,24,163.12813978941927,193.16790966579305,0.005198540384859034,95.68633246386442,105.75276992929857
5.0,6,graphite,24,4042.332203437867,4908.433390595785,0.13209590170308366,-1520.1087658040524,26.372912156826622
5.0,7,gypsum,24,597.3401712383002,938.634204684858,0.025260550927462676,470.40659601466706,80.28130516133471
5.0,8,iron,24,4594.205478632363,5561.720767400403,0.14967719052643544,-1115.5387588762412,20.05105295550436
5.0,9,nickel,24,5649.190844394144,6688.247429428543,0.1799943087129185,-4595.822233764417,30.36039528737675
