res_size,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
20,3,cement,24,146.40049826396566,173.7641352664319,0.004676345445708458,19.530911370945535,24.698214269221072
20,4,copper,24,24097.304890749696,24513.04839036248,1.0246388563454718,-24097.304890749696,62.47928009189141
20,5,cork,24,147.80945570098825,175.9222336047846,0.004734424250753427,85.2752312734553,83.3059168140982
20,6,graphite,24,3138.5951415681084,4147.667876200514,0.11162215812510357,-1322.450148996327,22.937035931256037
20,7,gypsum,24,860.587177790644,1532.0069888922108,0.04122941649791418,758.4341137572479,56.27458025040234
20,8,iron,24,4478.009291295124,5629.360602747648,0.15149751573617773,-887.2745105580985,20.471442745615242
20,9,nickel,24,5930.70499115768,6865.033414096589,0.1847519782573265,-4849.293852416761,31.260545599877894
20,10,pdms,24,176.39928959310092,218.6784575965478,0.005885080990321697,-158.41705592887322,41.72057246877115
20,11,ps_foam,24,173.35541523531552,243.36265985071296,0.006550793438374601,173.35541523531552,346.94415422028726
20,12,pu_foam,24,136.45355405162823,242.9184262968602,0.006537427730700634,135.786830543259,154.25547049213262
20,13,titanium,24,5095.378755057257,6177.955356275693,0.16626131364687363,4397.618017257132,57.863718417226664
20,14,wood,24,1566.019161528068,3225.076597225769,0.0867933548794355,1225.315844034386,59.82525679704715
30,1,aluminum,24,8989.477135511088,9839.264863544206,0.2647945812477614,-8486.366719514348,38.95430016367767
30,2,bismuth,24,9345.029165831535,10179.076321174753,0.2739395970466409,9342.52972388821,278.75699930792035
30,3,cement,24,186.98024341012888,218.84639529208795,0.005889600534452584,16.544096024333676,30.13815139901731
30,4,copper,24,24828.205761178833,25204.577175524068,1.0535445743236782,-24828.205761178833,66.03430142696408
30,5,cork,24,163.46565175730018,193.8179170709688,0.005216033402990824,97.97885653672343,95.90023590604746
30,6,graphite,24,3505.0036010742188,4341.876299459262,0.11684870084194066,-916.1412636339137,30.98296726349034
30,7,gypsum,24,771.4330163073378,1339.3457053772786,0.03604451045071419,684.5516973499807,68.61752209483821
30,8,iron,24,4604.717970365007,5681.0466694846855,0.15288849266258275,-730.819941059401,21.683968342165684
30,9,nickel,24,6152.8600068911865,7157.561514666822,0.1926245029802555,-4890.289525702351,33.28973974877971
30,10,pdms,24,185.88667333436547,223.88209067517536,0.006025121314586925,-168.96588723278762,43.329273831842045
30,11,ps_foam,24,184.08618502239742,282.26691571963715,0.007598011381453178,184.08618502239742,291.1106454525597
30,12,pu_foam,24,121.0081305423128,175.19712473177668,0.004714910099742148,120.20756415404797,139.17039695329814
30,13,titanium,24,5058.726997922925,5917.634733437804,0.15925555749837159,4340.917140385387,64.35468986340905
30,14,wood,24,1679.5495375915207,3450.707696075497,0.09286554555271968,1346.5343439068056,61.47967015494531
50,1,aluminum,24,9960.770634923743,10540.33937113533,0.28366191872018737,-9325.130520241344,42.82964991039753
50,2,bismuth,24,9209.561336708304,9871.805774220327,0.2656703231792374,9209.561336708304,254.00313404546986
50,3,cement,24,194.93895967641387,240.6514397923796,0.006476418524172166,40.42643083946498,30.07433439769892
50,4,copper,24,24533.623528173735,24939.122367134747,1.042448634441049,-24533.623528173735,64.34658564541593
50,5,cork,24,154.40065737725098,178.98356133113683,0.0048168107912728375,86.33409300593821,93.56797201656795
50,6,graphite,24,3289.2389179832226,4333.9602572085205,0.11663566408340283,-816.1026928060058,23.978929337986376
50,7,gypsum,24,1505.0951776046059,2872.7090233070703,0.07731042851500769,1398.1458718410152,88.05327932219565
50,8,iron,24,4545.706353598938,5553.76181990438,0.14946299910069274,-1207.8895143558418,17.46986642902055
50,9,nickel,24,6349.709195631124,7271.618208403612,0.19569400002860085,-4683.823251017022,33.85319264186945
50,10,pdms,24,181.81853398846292,222.7430821487346,0.00599446828410352,-162.77061801900524,45.193926952920656
50,11,ps_foam,24,164.9657993796511,234.22600512053918,0.006304854567177877,164.9657993796511,349.2867496872952
50,12,pu_foam,24,124.18726980587333,170.77846609868806,0.004595995030511656,123.60108958742835,158.31277307956958
50,13,titanium,24,5203.863675783514,6283.6813271045985,0.16910661403881458,4469.03652176017,67.24855514648897
50,14,wood,24,1346.2359029839936,2956.1936513147702,0.07955716924416834,997.2706605347317,56.741001252992504
75,1,aluminum,24,9839.802759760982,10570.240420611644,0.2844666166305247,-9585.348191953584,41.543633702636605
75,2,bismuth,24,9020.187769339056,9801.641479518412,0.2637820596461582,9020.187769339056,255.2409003430271
75,3,cement,24,236.40921247547718,281.6182677367983,0.007578918985439753,54.170207796658985,30.22142850504147
75,4,copper,24,24167.508268367423,24521.737479232303,1.0250020579326624,-24167.508268367423,65.0998362178845
75,5,cork,24,146.28454979934324,171.3979592708788,0.004612666848720746,83.98191089064935,89.08404421464255
75,6,graphite,24,3925.4597005041064,4844.630826583459,0.1303788452507491,-665.0729924208061,27.392877607109334
75,7,gypsum,24,1905.7837070430487,3777.0148750962285,0.10164713381416314,1804.5476863017695,57.29877884427105
75,8,iron,24,4594.570706225679,5722.273098538827,0.15399797951644104,-896.8785687178212,20.241593611529453
75,9,nickel,24,5842.045017842494,6760.927009421663,0.18195026367667266,-4450.842287204088,29.14589009603439
75,10,pdms,24,185.97935151515784,227.2620282756353,0.006116082293274814,-180.03290394031396,39.24769768540459
75,11,ps_foam,24,155.9145160221604,220.10622016023322,0.005924780669538967,155.9145160221604,297.2524592135758
75,12,pu_foam,24,134.285501174468,196.73376071415825,0.005294504671646577,133.82849253941063,169.251906771631
75,13,titanium,24,5244.056828516458,6332.92922576281,0.17043197491519982,4615.905045251923,66.05892835432627
75,14,wood,24,1280.5567953709601,2776.609854176385,0.07472420488945002,935.0353190917759,56.34494718249727
100,1,aluminum,24,10141.016125103864,10886.079951154383,0.29296649923267154,-9505.979960074243,46.48058098128855
100,2,bismuth,24,8948.83139692966,9580.597237215527,0.2578333105892355,8948.83139692966,274.29532062036344
100,3,cement,24,203.84304227231587,240.96923949394943,0.00648497115895382,7.82101719064769,27.257486059221474
100,4,copper,24,24239.06753350414,24583.69309403758,1.0275917860353172,-24239.06753350414,65.39291225994725
100,5,cork,24,149.20076433897296,175.35649385373554,0.004719199046172412,81.2183143353675,78.65972925964535
100,6,graphite,24,3704.9713410784716,4452.555609097808,0.11982730563152383,-878.7619157267414,30.09367665523797
100,7,gypsum,24,2087.473750916306,4104.626217488673,0.11046381975807382,1971.309351751972,60.867870781592906
100,8,iron,24,4406.521098207016,5749.869755118246,0.1547406615383328,-676.0896757599215,18.567307678345525
100,9,nickel,24,6125.235929029562,7015.738246305139,0.1888077510706526,-4741.582297783515,27.87367523944203
100,10,pdms,24,186.1573637225152,228.42977221732372,0.006147508652086403,-178.99402984397338,39.13654565845774
100,11,ps_foam,24,155.03606403902646,210.94892536642203,0.00567828621272559,155.03606403902646,322.7179394441012
100,12,pu_foam,24,121.50987729467984,181.55277976023,0.0048859536721181755,120.69125829167524,181.17945953129384
100,13,titanium,24,5193.710247163376,6145.7248746005125,0.16539392598967026,4393.263087651012,57.77479761729638
100,14,wood,24,1226.248526876884,2693.607283292395,0.07249043729557747,887.0262827627186,57.73099918801512
