window_end_s,fold,held_out_material,rmse,nrmse_training_range,bias
2.0,3,cement,778.4567587018707,0.020949850857628086,461.3334543752994
2.0,4,copper,25701.590553007103,1.0743196003662505,-25402.18587728127
2.0,5,cork,224.93757199443272,0.006053526458449157,110.03186326738279
2.0,6,graphite,5750.978860761181,0.1547705098215484,1818.8445762098365
2.0,7,gypsum,4517.893547000149,0.12158568211049693,2509.285956107678
2.0,8,iron,6878.588111586308,0.1851167626691202,-4424.932618739523
2.0,9,nickel,9893.491133331618,0.2662539201922985,-7642.517173271796
2.0,10,pdms,567.905510717621,0.015283489568000174,-23.172333591200346
2.0,11,ps_foam,197.74583933353122,0.005322887856200342,145.7292058193735
2.0,12,pu_foam,170.00118413052212,0.004575076795650988,136.06128945711194
2.0,13,titanium,4604.038014714604,0.12390400452295447,2339.5842665111463
2.0,14,wood,4687.801663768539,0.1261582542746002,2040.7996612938562
2.5,1,aluminum,11965.845350655187,0.322025176966411,-10565.326466828801
2.5,2,bismuth,9807.098080907925,0.2639289078609395,8226.09316823771
2.5,3,cement,2693.632425940525,0.07249111393525283,1572.1297762441961
2.5,4,copper,25935.23928559122,1.0840860548001954,-25652.991754966817
2.5,5,cork,245.158542884962,0.006597713813260558,116.77844198509449
2.5,6,graphite,5603.972137427665,0.15081426062147535,2399.1015342176493
2.5,7,gypsum,4773.618134102303,0.12846774961203994,2510.792492273551
2.5,8,iron,7654.35325910014,0.20599417680842605,-4831.247122727153
2.5,9,nickel,9402.164570135788,0.2530313254800267,-7809.972968559882
2.5,10,pdms,594.0203198277916,0.01598629206784079,-2.4386532083159125
2.5,11,ps_foam,227.01808183281094,0.006110832951016537,167.65303744117932
2.5,12,pu_foam,204.81762194111053,0.0055120577793372665,161.5839892900282
2.5,13,titanium,5800.560333246098,0.15610484784642822,2942.7977267976044
2.5,14,wood,5964.434171134819,0.16051502532238823,2763.1257759483974
3.0,1,aluminum,11426.054664910438,0.30749831438312886,-9809.229461620467
3.0,2,bismuth,9762.586381950776,0.26273100772821156,8506.232659001056
3.0,3,cement,4084.4819574730013,0.10992169684855042,2526.84621835235
3.0,4,copper,24399.65271497294,1.0198989474897728,-24142.21190877541
3.0,5,cork,200.70849509556015,0.005401472838546323,95.44343018496427
3.0,6,graphite,5282.322962512546,0.14215802870155755,1173.42888610567
3.0,7,gypsum,4800.892254141475,0.12920175152121025,3186.8586187790847
3.0,8,iron,6573.288526447978,0.1769005313832496,-2558.4680801653035
3.0,9,nickel,9317.764517329379,0.25075994881214503,-7355.436210137031
3.0,10,pdms,256.4000076365171,0.00690024443854421,-78.60578224808033
3.0,11,ps_foam,209.27121580953659,0.005633125920824255,145.0885455334238
3.0,12,pu_foam,152.81778165862295,0.0041126365701807995,119.26684124035576
3.0,13,titanium,4807.820197489559,0.1293881965334348,2450.022061514402
3.0,14,wood,5816.868504281217,0.15654373381809886,2521.191869870059
3.5,1,aluminum,9859.396408979172,0.2653363619821202,-8618.621561636743
3.5,2,bismuth,8613.3908943661,0.23180382545118233,7594.057950952553
3.5,3,cement,4850.481350985198,0.13053629473305528,2600.583982075088
3.5,4,copper,25345.984945476357,1.0594553812284304,-25019.7660062689
3.5,5,cork,181.07344219457653,0.0048730537256553245,92.0975935212382
3.5,6,graphite,5339.411766689072,0.14369440425455932,-64.6585264106064
3.5,7,gypsum,4127.487599654273,0.11107906593766538,2539.562062624198
3.5,8,iron,7470.19779688987,0.20103817967076068,-3436.7580581926472
3.5,9,nickel,9072.882010907448,0.24416966370017987,-7309.894533297837
3.5,10,pdms,230.59500635462803,0.006205779495959624,-98.55484268814378
3.5,11,ps_foam,207.34160451777174,0.0055811849821590515,150.70012495160617
3.5,12,pu_foam,158.7348702874577,0.0042718774308962626,128.98488885922174
3.5,13,titanium,6019.906401533749,0.1620078955950229,3211.8953270987113
3.5,14,wood,6033.535487989721,0.16237468196483296,2408.6255041512172
4.0,1,aluminum,9229.435849684518,0.2483828451478405,-7518.814503938175
4.0,2,bismuth,9616.031103338131,0.258786907821554,8673.177544254962
