outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
2,bismuth,18,expected_improvement,38,0.6417612688256934,0.8031848623544511,1.2782775157656863,1,585,4,0.014485546021132502,1.6108626948351839,0.792838518272494,0.3195298962676758,0.8124383869323839,0.6769624525305775,0.3284781956091548,0.1756631198308309,0.19024374349496037,0.37239397556686255
2,bismuth,38,expected_improvement,78,0.7383003404704498,0.7028281214665256,0.6738057956458314,5,401,1,0.08898145069012407,9.358020616078203,0.8626794878190287,0.3400095350528317,0.002002273977222995,55.217647466741745,0.3215486538405154,0.21266562106923567,0.13393041856864796,0.3747150591078243
2,bismuth,14,random_initialization,39,0.19560595997300673,0.9056394530623821,1.163373910088429,4,288,4,0.014101719937380536,18.745797774520316,0.884627514816559,0.3223843089636061,0.00019253856035576783,2.991281670467519,0.3441681855120058,0.16951059413299352,0.1394464418766017,0.38654583404525417
2,bismuth,23,expected_improvement,77,0.13592925321393312,0.41219700671641335,0.9492692713012916,3,540,4,0.01489027496921263,5.147915890108885,0.7268752322268461,0.3250339685130102,0.0032177003256834108,0.23732915939709098,0.33866568132486574,0.2140168332388239,0.06568059514063307,0.3921698896345717
2,bismuth,2,random_initialization,52,0.6271182410759883,0.33176979426904335,0.660294151323422,1,215,4,0.018076753301264372,2.038314342434667,0.701272110251338,0.43455449438154026,0.001971217126844381,0.16318802534186994,0.3468155994349366,0.21976279483724886,0.018386684388446817,0.40175629814424885
2,bismuth,50,expected_improvement,52,0.18102749213050978,0.8736279921677547,0.6855680458060791,4,535,2,0.0434178561978146,1.6080348804944387,0.8826574324320962,0.3070632914249009,0.04608451979221811,0.25234417548500787,0.3448091850253018,0.24828514594600948,-0.05007881881533005,0.4068804715118042
2,bismuth,45,expected_improvement,54,0.7735390788980339,0.3865388444362083,1.0173697124019905,5,525,1,0.030400530170704522,1.3798235327536272,0.8439783360930473,0.30935421791724255,0.0008405378198828972,0.5132180261662643,0.35766118619814113,0.24240248791553504,-0.08818750392614416,0.4182618081770249
2,bismuth,46,expected_improvement,32,0.36898315870527326,0.39723651548169026,0.42380341984061715,2,237,1,0.03264910313981825,1.4665281067463507,0.7098416027253907,0.3459096391800385,0.00015511258210816888,0.16222038997356972,0.367530102306468,0.2950309447301847,-0.29055624708368755,0.44128783848901415
2,bismuth,49,expected_improvement,66,0.15887951919450433,0.6683935337622571,1.038607970219428,1,581,2,0.06730380112604312,1.1624765394499235,0.6185664712364588,0.3291034296772228,9.761159618160642,0.19981052916259578,0.4020437384296519,0.16415890623693458,-0.10452017938471031,0.44308346498888557
2,bismuth,20,expected_improvement,12,0.7221015564677151,0.5701403023543089,1.3743458589408688,1,408,4,0.016048125376803803,1.059196672629587,0.7653972038424098,0.31274491811492316,0.6949599106270073,0.5725937325084154,0.38040253135165925,0.2644496841465285,-0.24903335098072565,0.44651495238829136
2,bismuth,36,expected_improvement,37,0.3225245212134293,1.3358124767362234,1.2067356756221088,4,363,4,0.10654125173551719,8.70240776614631,0.8052126141289846,0.30622930488117495,0.00034760915493760384,7.187630551014045,0.390599305429679,0.28436961357917073,-0.35763043991615817,0.4616917088244717
