outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
2,bismuth,24,expected_improvement,68,0.09711650695439997,0.9244313273384455,0.8739005094106884,1,1.0610272802753122,1.476029808334002,-18.117804061126915,1.4300347323588127
2,bismuth,6,random_initialization,15,0.8120197635893551,0.8391958890447914,0.8761727627679408,3,1.0632269093500604,1.48910112628366,-18.36896092950473,1.4355021909209753
2,bismuth,4,random_initialization,13,0.3202206134925664,0.5564907293785057,0.5755339944907578,5,1.073561956573771,1.5133343635387955,-18.91748724448316,1.45189554745847
2,bismuth,9,expected_improvement,50,0.662179435434021,1.6093792204702788,1.498003032567578,5,1.0959730267239416,1.5541134945210797,-19.922027156635398,1.4845014003542114
2,bismuth,14,expected_improvement,73,0.5772925613089799,1.097261097012653,0.6265306071632443,2,1.128037202270856,1.6206739886256352,-21.556723261706402,1.5332056994272647
2,bismuth,8,random_initialization,30,0.7933528596764842,0.25630951217452747,0.4422739467122888,3,1.1333566535329433,1.6100667346086734,-21.428457395075135,1.5358733371851117
2,bismuth,3,random_initialization,11,0.2944909590576774,1.8214638361566002,1.013357629294701,3,1.1649834631411378,1.6486841327053434,-22.576739602524697,1.5771544963174735
3,cement,9,expected_improvement,15,0.1594495681312051,0.9154438538417315,0.5411419163426778,0,0.1935346141052287,0.0710283204811663,0.7588244732900309,0.21129169422552027
3,cement,1,random_initialization,66,0.0845707276020109,0.9786472005192028,1.1974182201915335,3,0.2009226926344495,0.08408872905456967,0.7339066893477082,0.22194487489809192
3,cement,12,expected_improvement,63,0.071092989096862,0.8895090788039601,1.1966489412811265,3,0.23411987101591503,0.06451943337901467,0.6700054529955032,0.2502497293606687
3,cement,6,random_initialization,77,0.8589752748708092,0.6707887972877994,1.0481592706125225,2,0.23882419175609768,0.07344630085483013,0.6499334853507897,0.2571857669698052
3,cement,22,expected_improvement,62,0.5226088923552126,0.9875978989586207,0.7595209674777081,3,0.2442889936224053,0.12172360764880633,0.5973607159801313,0.2747198955346069
3,cement,11,expected_improvement,15,0.6824038309403077,0.33045558690011984,1.2242517777356208,4,0.24717339049937617,0.1160680080287545,0.5949098896855983,0.2761903925065648
3,cement,3,random_initialization,15,0.7033037537357925,0.8843973717298111,0.38510522681307907,0,0.2538922995768915,0.09097198253406241,0.5975422122669201,0.27663529521040714
3,cement,20,expected_improvement,11,0.1342172011321096,0.8468381444356856,0.8206166762988096,0,0.2548660205327572,0.10991193222962817,0.582112050037732,0.28234400359016426
3,cement,23,expected_improvement,61,0.3377772148039227,1.5628061663030206,1.2502162330664612,2,0.25660767728175027,0.11505368673371015,0.5708213217646605,0.2853710989651778
3,cement,13,expected_improvement,21,0.10575298001832682,0.34754555142097765,0.37427530197877323,0,0.26691557362387175,0.10271159012640058,0.5547611692008382,0.2925934711554719
3,cement,16,expected_improvement,61,0.15946391476268298,1.4550930902637973,0.6408885833095564,4,0.2637225786530506,0.12473992515497935,0.5422754253816511,0.29490755994179546
3,cement,7,random_initialization,48,0.5984729159039684,1.4204697140146998,1.1214582615857978,0,0.27000755059075454,0.10601057124954438,0.5423102530604151,0.29651019340314066
3,cement,15,expected_improvement,77,0.86119251942337,0.6363187461538161,0.34953470627733163,2,0.26782930721939074,0.12700006715920586,0.5252873925616104,0.2995793240091922
3,cement,5,random_initialization,22,0.1714118408579186,1.16292685832488,0.31659483860940846,4,0.27348667304237706,0.13510760744462913,0.5024570483346913,0.30726357490353434
3,cement,17,expected_improvement,43,0.8882519898187615,0.8832733085421445,0.4456851991068752,4,0.2788426642770292,0.14509508964621284,0.4715965953934101,0.3151164366885824
3,cement,18,expected_improvement,55,0.1801692991410121,1.6051877288986895,0.5024433848665049,0,0.2845389444598253,0.1412001212813122,0.46188877452500043,0.31983897478015333
3,cement,4,random_initialization,21,0.6505988153413915,1.8433321321127643,1.194358641270339,2,0.2886775433982813,0.13489149568550518,0.45408496594034603,0.3224004173196576
3,cement,24,expected_improvement,48,0.15971074877292218,1.4676380125030302,0.5402577487034128,4,0.2830173819756179,0.16358734918594914,0.43463374514812436,0.3239142192721052
3,cement,19,expected_improvement,66,0.8507331531551469,0.836122124541781,1.121760764891809,4,0.29852942917157926,0.13648012369287524,0.41417716026286727,0.33264946009479807
3,cement,21,expected_improvement,54,0.9410553426525179,1.2738721793082557,0.7430971076874018,0,0.29767504259108035,0.1615437308344705,0.392367958818154,0.338060975299698
3,cement,2,random_initialization,29,0.42543972908339933,0.6744230517971129,0.9551433989074274,2,0.30064494863787206,0.15257245803548425,0.38956734130180426,0.33878806314674315
3,cement,10,expected_improvement,56,0.33520423531192284,0.6671889419347625,1.0285544303213152,1,0.2973181812698371,0.1736654296999743,0.3730783345602374,0.34073453869483067
3,cement,8,random_initialization,42,0.5289441208925006,1.4209792072880956,1.1189266444699302,2,0.30969099897556074,0.14314140357546595,0.3799148293200265,0.3454763498694272
3,cement,14,expected_improvement,25,0.7838212010377137,1.584546350638198,0.7720755610336714,5,0.30539474216941076,0.18620482463148724,0.328922929486401,0.35194594832728254
4,copper,8,random_initialization,23,0.20187817362707,0.6465502070313311,0.466488605475356,2,0.14538331361304113,0.04000203026736171,0.8726348699336859,0.15538382117988156
4,copper,12,expected_improvement,50,0.49372043129168963,0.3605175092903074,1.020928344458034,2,0.1527182483936817,0.02276987608415597,0.8689492798562546,0.15841071741472068
4,copper,3,random_initialization,70,0.7226508752686622,0.7378612268903781,0.7117941531711998,3,0.16072453149237692,0.022243830448255442,0.8563600366041277,0.16628548910444077
