trial,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds
139,12,0.5799663855599771,0.4664716775999058,1.198279949571606,949,4,0.092457393304707,6.735597911167581,0.8465754317182053,0.5935273194203641,1.190327574188118,5.218774019928498,0.2665015086180908,0.20581703474637889,0.5344162580734946,7647.770995751913,4220.160337602575,0.15187354480278817,0.24273789548684768,0.973422923424094,0.9371606956832874,34.53132891599671
180,10,0.5773442836359615,0.2874233715953442,0.9174604666585884,1173,4,0.11814763202101015,2.6903300704701194,0.8605273883456261,0.5526452769179114,0.3777293060282329,25.96746166820779,0.26655159599036554,0.205943910639003,0.5338420630348176,7652.4854634968515,4166.066342804296,0.15160662820895587,0.24243074140545018,0.9699497858176309,0.9295943571969019,42.83230366700445
173,14,0.34133799278379734,1.108451217008338,0.7657533786142035,1197,3,0.05026237713770522,7.020077063955184,0.9605487024541307,0.5078586011535695,0.8572897706772085,4.367743814430293,0.2665679345937595,0.20618644706342623,0.5327434449361168,7661.497657431154,4218.802588956433,0.1541453311062049,0.24152595012133313,0.972883687682408,0.9106363584511855,41.020830708002904
183,11,0.5736429682876371,0.5433577291621019,0.8875975156274646,1172,4,0.13009119554178575,2.045799760479751,0.8568211683366402,0.45243560649321074,0.3203513053211201,14.56782004837192,0.2666080399260242,0.20574747953878778,0.5347308899684134,7645.18645604229,4163.974939637968,0.1522481809242228,0.24344224154894567,0.9793617969370777,0.9480552265710448,39.40921966700989
193,15,0.6976838901792115,0.29907826819569444,1.0742631575734307,1136,3,0.07029027935109952,3.2309333222709355,0.883238211762064,0.5733490635680769,0.007030255911198744,19.18780098222658,0.2666084286555383,0.2059454253203912,0.5338352059896596,7652.541746186974,4233.132425741272,0.1525332770520546,0.2426520133405884,0.9747273555332153,0.9084743577001043,43.550982958011446
227,16,0.4540508787774358,1.3605134385180322,1.1505877430573281,857,3,0.08792839426146769,8.376884834590523,0.7347134966424886,0.474560653296203,1.39466752417993,21.501898303996555,0.26665815305133167,0.20582822893252684,0.534365611412355,7648.186950496615,4206.812369340628,0.15210895661010992,0.24331969647521925,0.9777091732337457,0.8727485890145621,35.0115465419949
147,11,0.4186588889826804,1.2093838959162044,0.8699532521605047,1099,3,0.030962426668719987,9.997944598313556,0.955865319310271,0.41140280914644706,0.34700026294567987,15.776894220315592,0.26678222753014996,0.2055228682727337,0.5357461893153581,7636.840327025495,4124.062086855562,0.15050059947108105,0.24503743702966516,0.983534361690095,0.786040086847493,36.194339916997706
179,12,0.4047730737204093,0.5234349460407783,0.8065290889720786,988,3,0.03327357288058552,2.1718084275195295,0.9923829797825057,0.4383772775089924,0.46267671942969235,19.396714586840112,0.26693392651122516,0.2061558579793143,0.5328820756758456,7660.361025030701,4218.16376387946,0.15272425983490118,0.24311227412764339,0.9771182309726654,0.879159620506355,35.71326470900385
136,17,0.4318226190304575,0.9029520325508062,1.0767546860999713,885,4,0.044684330624640736,3.796257319188404,0.955066155978803,0.4632545738948345,0.35269060017313547,9.972668443857486,0.26697828627080644,0.20627941641391737,0.5323219785137331,7664.952222322035,4172.609841850282,0.15274801012447575,0.24279547942755628,0.9746969340504948,0.8531660041180597,47.41354829199554
219,10,0.39137838501477834,1.2542336129508809,1.163328972974551,1136,2,0.101690666300662,7.820272928909991,0.82753142379839,0.5909545838224654,0.17635163146313707,5.328921774423642,0.2670660663594385,0.2062454034074295,0.5324761948132306,7663.688363454295,4171.081622266801,0.15224766089860703,0.24328265180803618,0.9759011311032462,0.9834968356411881,29.46359204199689
216,11,0.1853768199688049,1.6534708461146947,0.7586061377572323,1014,5,0.020968366728970088,4.1939842815527735,0.9008091925252483,0.5109764862395152,0.00012670490850432816,6.917701085705418,0.26707406895840097,0.20662217458466764,0.5307664801976487,7677.688466433467,4186.869454812568,0.15451612680669433,0.24180757749493326,0.9737521265038653,0.9703135830797194,53.528091665997636
215,11,0.4993548004564042,0.8597886699899878,1.1986785935657174,908,3,0.15649251797405722,5.77844594810794,0.788156442182465,0.48978343581096273,2.2090444988452194,11.620678935986454,0.2671216719117812,0.2061941211037388,0.5327086627046,7661.782810227155,4176.37379502305,0.1521553468109324,0.24371020323216958,0.9783637663549538,0.8012396287271696,27.354627792010433
175,14,0.3008032312299987,0.6448208490734043,0.8774820507374732,866,2,0.0574832207285651,8.360383651128657,0.9748642675097282,0.41828204126234003,0.6495993697108818,25.485772913917824,0.2671451552786718,0.20551884506045912,0.535764365135537,7636.6908320812045,4168.740347721452,0.15003242146027543,0.24650524087285058,0.9905892860127294,0.8272848696414636,26.816721458992106
209,11,0.2233619612222727,1.8790722700684876,0.7960732957206762,1160,6,0.020744029380969833,6.369895209991071,0.8291136591110951,0.63135127482885,0.00048190785953815577,5.773850842496678,0.2672571819855553,0.20732807099227418,0.5275548591984616,7703.918239293382,4276.8807643082255,0.15613336853401358,0.2397164439731245,0.9639198622398526,0.9336906729915697,70.55142779200105
205,11,0.6907043111109326,0.40105394052240967,0.8921871662164655,1068,5,0.08517374998062378,7.435643977744208,0.8335041003552124,0.4017010724168457,0.0016133482055390332,21.293743790093384,0.2672960333715526,0.2065644743472021,0.5310285150463063,7675.5444349489935,4184.655386308952,0.15310189298332738,0.24292623609740194,0.9753598557631433,0.8584904331423386,52.4058831250004
248,13,0.34859611579737215,0.8023940629102787,0.9106854160345816,1084,4,0.02142586954058463,9.606152112367793,0.9891978886094395,0.42044111762781633,2.773908442472453,13.395117797096935,0.2673156272937171,0.20664628456483194,0.5306569675480404,7678.584347608879,4214.313339493127,0.15299448551187309,0.24267737091554065,0.9730583653555964,0.7465055086304518,41.92341587498959
142,10,0.6851288285758419,0.37244737337528333,1.0935882584626095,880,3,0.04507612831363279,5.95899375414037,0.9025755149525382,0.4590743550041306,1.6386401129404735,11.63307714275936,0.2673211962713496,0.20623589238614334,0.5325193136053215,7663.334951926323,4204.893310582649,0.1517101336554019,0.24434121554082508,0.9802616337551617,0.832330671563043,30.92193245900853
119,10,0.3492475553707405,0.5124862632981415,0.882294228154985,856,5,0.051774613145304155,7.017469747842913,0.813444078447143,0.4839852498021431,0.38868017685782114,5.334304694640805,0.2674682594882128,0.20718102398454913,0.5282247830310267,7698.4542511347845,4250.680788171589,0.153708685668625,0.24114894201465462,0.9639015346750099,0.9215273103522026,43.18598608400498
198,11,0.6519269657786116,0.35226260061897685,1.0861411896312736,1012,2,0.10537559110421202,1.783958355578455,0.9420281244359204,0.46335890395663165,6.80393330415465e-05,21.12393102330119,0.2675814886820812,0.20617258517896275,0.53280627000292,7660.982576072232,4191.405244050582,0.15155449438001942,0.24563561401247372,0.9877115624462391,0.894307792473637,27.74934020799992
246,10,0.1897642917178703,0.8548884428678702,0.8696977801254988,1090,5,0.020003366106280434,4.43974868534428,0.9863584567344521,0.4493361608634533,0.734708777440417,2.877489337601039,0.26763794606757363,0.2074570232208236,0.5269669812557137,7708.7098597467275,4253.211675886308,0.15541017933033197,0.24072369138700023,0.9664608464075329,0.944759560302604,50.05264945900126
