index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary,Label,eff,Elbow time,Elbow value,Elbow index,Time from elbow,Primary aligned,Secondary aligned,diff,id
136,carbon,6,8.5,1.0,1.0,2300.0,717.0,13.60067,-1.0960158429739655,0.2545095740573976,ceramic,3744,11.20066,0.0006598,112.0,2.40001,-8.379999999999998e-06,3.822000000000005e-05,1.6633499763251784,carbon_trial_6
137,carbon,6,8.5,1.0,1.0,2300.0,717.0,13.7007,-1.1115772930542676,0.17519285666737316,ceramic,3744,11.20066,0.0006598,112.0,2.5000400000000003,-8.439999999999967e-06,3.8080000000000015e-05,1.6348869456260702,carbon_trial_6
138,carbon,6,8.5,1.0,1.0,2300.0,717.0,13.8007,-1.127138743134598,0.10720709890448629,ceramic,3744,11.20066,0.0006598,112.0,2.6000400000000017,-8.500000000000044e-06,3.795999999999997e-05,1.613539672601768,carbon_trial_6
139,carbon,6,8.5,1.0,1.0,2300.0,717.0,13.900660000000002,-1.1427001932149001,0.05055230076879842,ceramic,3744,11.20066,0.0006598,112.0,2.700000000000003,-8.560000000000013e-06,3.786000000000002e-05,1.5993081572522332,carbon_trial_6
140,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.000660000000002,-1.1582616432952024,-0.028764416621226023,ceramic,3744,11.20066,0.0006598,112.0,2.8000000000000025,-8.619999999999982e-06,3.7719999999999984e-05,1.570845126553125,carbon_trial_6
141,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.100700000000002,-1.1738230933755045,-0.09675017438405147,ceramic,3744,11.20066,0.0006598,112.0,2.9000400000000024,-8.67999999999995e-06,3.7600000000000047e-05,1.5494978535288226,carbon_trial_6
142,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.20066,-1.189384543455835,-0.16473593214693832,ceramic,3744,11.20066,0.0006598,112.0,3.0,-8.740000000000028e-06,3.748e-05,1.5281505805045204,carbon_trial_6
143,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.3007,-1.189384543455835,-0.23272168990976377,ceramic,3744,11.20066,0.0006598,112.0,3.1000400000000017,-8.740000000000028e-06,3.736000000000006e-05,1.4854560344559158,carbon_trial_6
144,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.4007,-1.2101331435629046,-0.3007074476726507,ceramic,3744,11.20066,0.0006598,112.0,3.2000400000000013,-8.819999999999987e-06,3.7240000000000016e-05,1.4712245191063424,carbon_trial_6
145,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.500660000000002,-1.2153202935896719,-0.3800241650626751,ceramic,3744,11.20066,0.0006598,112.0,3.3000000000000025,-8.839999999999976e-06,3.709999999999998e-05,1.4285299730576992,carbon_trial_6
146,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.60066,-1.2256945936432067,-0.43667896319836297,ceramic,3744,11.20066,0.0006598,112.0,3.4000000000000004,-8.879999999999956e-06,3.700000000000003e-05,1.407182700033397,carbon_trial_6
147,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.7007,-1.2412560437235372,-0.5159956805883874,ceramic,3744,11.20066,0.0006598,112.0,3.5000400000000003,-8.940000000000033e-06,3.6859999999999996e-05,1.3787196693343273,carbon_trial_6
148,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.80066,-1.2464431937503044,-0.5839814383512129,ceramic,3744,11.20066,0.0006598,112.0,3.6000000000000014,-8.960000000000023e-06,3.674000000000006e-05,1.3431408809604901,carbon_trial_6
149,carbon,6,8.5,1.0,1.0,2300.0,717.0,14.900660000000002,-1.2568174938038392,-0.6519671961140997,ceramic,3744,11.20066,0.0006598,112.0,3.700000000000003,-9.000000000000002e-06,3.662000000000001e-05,1.3146778502613818,carbon_trial_6
150,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.00067,-1.2723789438841415,-0.7086219942498491,ceramic,3744,11.20066,0.0006598,112.0,3.8000100000000003,-9.059999999999971e-06,3.6519999999999955e-05,1.3004463349118085,carbon_trial_6
151,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.100700000000002,-1.2723789438841415,-0.7766077520126745,ceramic,3744,11.20066,0.0006598,112.0,3.9000400000000024,-9.059999999999971e-06,3.640000000000002e-05,1.257751788863204,carbon_trial_6
152,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.20067,-1.2723789438841415,-0.8445935097755614,ceramic,3744,11.20066,0.0006598,112.0,4.000010000000001,-9.059999999999971e-06,3.627999999999997e-05,1.2150572428145607,carbon_trial_6
153,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.30066,-1.2879403939644436,-0.9125792675383868,ceramic,3744,11.20066,0.0006598,112.0,4.100000000000001,-9.11999999999994e-06,3.616000000000003e-05,1.1937099697902585,carbon_trial_6
154,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.4007,-1.2931275439912393,-0.9692340656741361,ceramic,3744,11.20066,0.0006598,112.0,4.200040000000001,-9.140000000000038e-06,3.605999999999998e-05,1.1652469390911888,carbon_trial_6
155,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.500700000000002,-1.303501844044774,-1.0372198234369616,ceramic,3744,11.20066,0.0006598,112.0,4.300040000000003,-9.180000000000017e-06,3.594000000000004e-05,1.1367839083921192,carbon_trial_6
156,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.600700000000002,-1.3138761440983089,-1.1052055811998485,ceramic,3744,11.20066,0.0006598,112.0,4.400040000000002,-9.219999999999996e-06,3.581999999999999e-05,1.108320877693011,carbon_trial_6
157,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.70066,-1.3138761440983089,-1.1505294197083986,ceramic,3744,11.20066,0.0006598,112.0,4.5,-9.219999999999996e-06,3.5740000000000034e-05,1.079857846993941,carbon_trial_6
158,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.80066,-1.3190632941250762,-1.2185151774712855,ceramic,3744,11.20066,0.0006598,112.0,4.600000000000001,-9.239999999999986e-06,3.561999999999999e-05,1.0442790586200654,carbon_trial_6
159,carbon,6,8.5,1.0,1.0,2300.0,717.0,15.900660000000002,-1.3346247442053785,-1.2638390159798358,ceramic,3744,11.20066,0.0006598,112.0,4.700000000000003,-9.299999999999955e-06,3.554000000000003e-05,1.037163300945298,carbon_trial_6
160,carbon,6,8.5,1.0,1.0,2300.0,717.0,16.00066,-1.3346247442053785,-1.320493814115585,ceramic,3744,11.20066,0.0006598,112.0,4.800000000000001,-9.299999999999955e-06,3.543999999999997e-05,1.0015845125714224,carbon_trial_6
161,carbon,6,8.5,1.0,1.0,2300.0,717.0,16.10066,-1.3398118942321458,-1.3884795718784106,ceramic,3744,11.20066,0.0006598,112.0,4.900000000000002,-9.319999999999945e-06,3.5320000000000035e-05,0.9660057241975852,carbon_trial_6
162,carbon,6,8.5,1.0,1.0,2300.0,717.0,16.200660000000003,-1.3501861942857087,-1.4338034103870223,ceramic,3744,11.20066,0.0006598,112.0,5.0000000000000036,-9.360000000000032e-06,3.523999999999997e-05,0.9517742088480504,carbon_trial_6
95,cement,1,1.73,1.0,1.0,2700.0,880.0,9.50066,1.2070787689119429,0.5717764436173726,ceramic,2027,9.50066,0.0006603,95.0,0.0,0.0,3.828000000000002e-05,-1.2968052163796129,cement_trial_1
96,cement,1,1.73,1.0,1.0,2700.0,880.0,9.60066,1.2018916188851756,0.5717764436173726,ceramic,2027,9.50066,0.0006603,95.0,0.09999999999999964,-1.9999999999989644e-08,3.828000000000002e-05,-1.2896894587048453,cement_trial_1
97,cement,1,1.73,1.0,1.0,2700.0,880.0,9.70066,1.170768718724571,0.5377835647359598,ceramic,2027,9.50066,0.0006603,95.0,0.1999999999999993,-1.399999999999275e-07,3.822000000000005e-05,-1.268342185680543,cement_trial_1
98,cement,1,1.73,1.0,1.0,2700.0,880.0,9.8007,1.0151542179214645,0.5377835647359598,ceramic,2027,9.50066,0.0006603,95.0,0.300040000000001,-7.399999999999421e-07,3.822000000000005e-05,-1.0548694554374047,cement_trial_1
99,cement,1,1.73,1.0,1.0,2700.0,880.0,9.9007,0.9114112173860603,0.560445483990235,ceramic,2027,9.50066,0.0006603,95.0,0.4000400000000006,-1.1399999999999518e-06,3.826000000000003e-05,-0.8983227865924442,cement_trial_1
100,cement,1,1.73,1.0,1.0,2700.0,880.0,10.0007,0.8387911170112885,0.5377835647359598,ceramic,2027,9.50066,0.0006603,95.0,0.5000400000000003,-1.4199999999999153e-06,3.822000000000005e-05,-0.8129336944951965,cement_trial_1
101,cement,1,1.73,1.0,1.0,2700.0,880.0,10.10066,0.7765453166900516,0.5264526051088222,ceramic,2027,9.50066,0.0006603,95.0,0.5999999999999996,-1.6599999999998994e-06,3.820000000000006e-05,-0.7346603600727163,cement_trial_1
102,cement,1,1.73,1.0,1.0,2700.0,880.0,10.2007,0.7091123663420191,0.560445483990235,ceramic,2027,9.50066,0.0006603,95.0,0.7000399999999996,-1.9199999999999816e-06,3.826000000000003e-05,-0.6208082372763604,cement_trial_1
103,cement,1,1.73,1.0,1.0,2700.0,880.0,10.30066,0.6676151661278799,0.5264526051088222,ceramic,2027,9.50066,0.0006603,95.0,0.8000000000000007,-2.0799999999998988e-06,3.820000000000006e-05,-0.5852294489025233,cement_trial_1
104,cement,1,1.73,1.0,1.0,2700.0,880.0,10.40066,0.6261179659137125,0.5377835647359598,ceramic,2027,9.50066,0.0006603,95.0,0.9000000000000004,-2.2399999999999243e-06,3.822000000000005e-05,-0.5211876298295779,cement_trial_1
105,cement,1,1.73,1.0,1.0,2700.0,880.0,10.5007,0.5794336156727777,0.5377835647359598,ceramic,2027,9.50066,0.0006603,95.0,1.0000400000000003,-2.4199999999999396e-06,3.822000000000005e-05,-0.45714581075663246,cement_trial_1
