trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,pooled_nrmse_range,pooled_r2,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,performance_index
34,expected_improvement,23,0.5399734604112904,1.8434020067302506,0.5166004453917611,3,959,2,0.19555371915319258,2.3465942572441802,0.7794126393756174,0.9471009053751206,1.0760034583630665e-06,0.2509409166487597,0.20524569472711643,0.5369975547327159,0.1516929154281626,0.2492310623575039,1.0140228541869631,0.8538925653336785,0.2675534603164924
48,expected_improvement,39,0.10028816427016257,1.9921037340512455,0.38072451875345503,1,398,6,0.1504584546868921,4.740368025633215,0.8464327427571279,0.7981227009894925,0.003458537894747509,0.019439445490830407,0.20718303208602687,0.5282156376268452,0.15961281919822026,0.24308109534613304,0.9978442641733685,0.7856744794051966,0.2679533059225601
43,expected_improvement,72,0.10491367305804072,1.3253244713297543,1.4561688555851766,0,691,2,0.019541653294996294,1.352761218063531,0.8160036052975504,0.9497704367003871,1.0222515359329822e-06,0.01908594629542018,0.20571778442923955,0.5348651829394837,0.15246315162675644,0.24972867598203247,1.017419360324522,0.7904317427311278,0.2681499534247477
21,expected_improvement,39,0.8552710260622509,1.8811678393127655,1.4866241940244886,2,1137,2,0.15218757265241076,0.8846813966507888,0.9750786479976188,0.7575517016614517,0.009641401975539103,0.3206402689650317,0.2067219923205336,0.5303130037869231,0.15523908128748357,0.24597685204967576,1.000595557165252,0.8314590779829973,0.26821620533295254
26,expected_improvement,71,0.420839479202392,1.9630800915943623,0.32841021977065527,5,897,5,0.07264394561495352,4.682446956319813,0.7136482647611802,0.42796115145672736,1.1336386293442184e-06,12.573770434681466,0.20522618388439082,0.5370855774172707,0.1496730597726145,0.25211913084314996,1.0239634875698445,0.7812248803128357,0.2682559665951783
16,expected_improvement,53,0.3474558498870921,1.9075128688473446,0.6172326252296554,1,655,2,0.1757817050227265,0.1215991837712083,0.8124414859377954,0.7539648460875885,6.89335009812917e-06,0.09474600068296708,0.20742456971839737,0.5271149673515565,0.15252518950803373,0.2510540595293628,1.0171549702121676,0.8313796541120407,0.27018808460073807
2,anchor_configuration,50,0.3,1.0,1.1,0,800,4,0.029999999999999995,0.49999999999999994,0.9,0.9,9.999999999999997e-06,0.30000000000000004,0.20758836877505465,0.5263678166554788,0.15373855720602608,0.25153378406226884,1.0235379651456296,0.7708566787498216,0.2704718147906219
31,expected_improvement,38,0.6738124561161358,1.313249337073527,0.35471699757596603,0,969,2,0.06350638998871495,0.4354207050954988,0.6909225814754042,0.4777225260013703,0.1629244168480521,0.0232921318667559,0.20827248739911586,0.523240912068857,0.15471063020153725,0.2506884519420996,1.018746768478141,0.7951874256999291,0.27094460038464074
32,expected_improvement,63,0.7495821616300635,1.8752070811290364,1.4868043384976892,2,448,5,0.16401563350469678,0.6927742850083147,0.956679416616114,0.6281833283066298,2.294144970103927e-06,5.226681843142273,0.21050122035718408,0.5129826777471083,0.16443685054249532,0.24353860750444756,1.002624401297016,0.8023965191823326,0.27138587223329597
4,random_initialization,67,0.18455868698458383,1.2508127142949106,1.0522126138952301,1,917,4,0.08391033096625826,3.353396480974856,0.7511932045893489,0.652052754789098,0.012714541463503046,14.257942796140824,0.20828858757555055,0.5231671989998358,0.15345935305560499,0.2538325436005957,1.0326638698676924,0.792792261207108,0.2717467234756995
25,expected_improvement,35,0.13215471433001935,1.6434456912513165,1.4745875091394172,1,997,5,0.034349169159136786,0.11173153882832676,0.832857025673403,0.6854916602559977,1.8332949119534054e-06,0.02746887067942361,0.21067623099897642,0.5121725290418497,0.16317842462599552,0.24430124239580567,1.0012647118873776,0.8875424187925144,0.27175154159792786
9,random_initialization,79,0.10025925267412383,0.8992608811163462,0.8089347669660494,5,594,2,0.02200177125712212,0.15036962249489372,0.9524573321409611,0.5548998635118088,1.2602716276191412e-05,0.015390786978825967,0.20882577732835125,0.5207044619790027,0.15444103882118668,0.2520787187371769,1.0232535179728026,0.7021435142981619,0.2718454570126455
29,expected_improvement,15,0.33468162025888193,1.4894264908796517,1.2498208196915648,5,617,5,0.019020531639982713,0.4879528603959664,0.671474008730894,0.6887281506110734,1.4920530250900509e-06,14.876509239287431,0.20987297283104275,0.5158853767686089,0.1591429508258486,0.2494086288496855,1.0197066501124805,0.7186587279421695,0.27222513004346416
3,random_initialization,17,0.48086156557019594,0.5910065995562324,1.108652728115997,0,764,3,0.03333025557450152,5.336372441122994,0.703172780057456,0.9260593620006073,1.3605294031703914e-06,0.041644499849636536,0.21004221242876878,0.5151042909782352,0.15721606068792585,0.24972599146249702,1.0135648206342294,0.8509732710489635,0.27247371029439305
44,expected_improvement,47,0.8405735538365184,1.96453534139737,0.37005400955072054,1,823,3,0.0715283923986157,3.914104695645218,0.9959077839109839,0.7965223914352615,0.007259851458691656,7.57861079087928,0.20992691383879353,0.5156364930164943,0.15943773209661252,0.2502405878834261,1.0254002761083374,0.8123788172301186,0.2724870608096501
41,expected_improvement,33,0.31472442924436317,1.1284736461000626,0.4153087326093172,0,1192,2,0.029669059858530945,0.1888833047073678,0.6897581814947397,0.6070142526750372,2.5499406602661256,19.181219752322455,0.2093719096504891,0.5181942252515437,0.1536389762081673,0.25275707283340737,1.0216979312904866,0.723770194293032,0.27256117785884093
42,expected_improvement,77,0.7610547730329281,1.6266230593326392,1.4053433218747609,5,907,2,0.10460799006731056,4.3371387610655505,0.7597867542088736,0.6275739645425051,0.03632387864476717,0.12161685968440687,0.2092858655923132,0.5185901523425973,0.1549168228454378,0.2544688496118467,1.036782526132283,0.8912028144789368,0.2729030779952749
1,anchor_configuration,20,0.1,1.0,0.9000000000000001,0,500,3,0.05000000000000001,1.0,0.85,0.85,0.00010000000000000009,1.0,0.20967622245366999,0.5167926406861201,0.15722653500209854,0.25362310603800364,1.0382541228266786,0.7717119075653008,0.27308199896317087
30,expected_improvement,57,0.4104838330390239,1.8149144127369414,0.3805278876148369,3,1197,2,0.016320623408660098,9.282644274551636,0.8774624995937315,0.5250318817214914,4.00483779594473e-06,0.2948872669340578,0.21045663072091275,0.5131889817791817,0.1555381643663009,0.25502717643018336,1.0366204373265047,0.7763786061299531,0.27421342482845856
18,expected_improvement,68,0.32489177984780643,1.8189630496365967,0.4450620071056318,3,1187,5,0.06957178100363576,0.19527270052216433,0.8019628655524382,0.8902265199607742,1.1100320406235482,18.203368085450563,0.21112611626341662,0.5100868574141744,0.1592918457599941,0.2529053920101588,1.034563141946472,0.7735702124444377,0.27435246426595633
15,random_initialization,30,0.5820112742062199,1.023446028941497,1.4636131191516955,5,1134,5,0.08043830092741094,2.97655418763571,0.795615679123804,0.9934755671705835,4.070505040585849e-06,24.435232157942586,0.2112701566351379,0.5094181448493004,0.1576992338740853,0.2545796123813048,1.0378395123270105,0.9672280716029623,0.2749150597304641
