trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
73,72,tpe,25,0.41152263400267053,0.3494977229380917,0.9460689796583587,2,669,4,0.02397395562994119,0.44972674191572193,0.9965534000296894,0.42490960321801313,0.1183391702933718,1.1948741880355087,0.27758457754877414,0.21412450247002784,0.4960726771955025,7956.46075402852,4357.295615914168,0.1582202096216396,0.25384030031498517,1.0212853949830345,0.9709235077387065,168.8395915001165,0.27758457754877414
92,91,tpe,11,0.9466229215375644,0.9435353909271309,0.356285921779667,4,1012,2,0.1266308097190956,0.35283240459667375,0.9838665645586314,0.5387178986091423,0.8231585103728869,0.06940981287748904,0.2777280504789478,0.2144459267518973,0.49455864170050357,7968.404271256045,4381.913275751848,0.15910011022798012,0.25312849490820183,1.0187136141815998,0.9944875858126753,78.33926400006749,0.2777280504789478
55,54,tpe,13,0.47695776824181635,0.5192691585192591,0.44574678339570417,1,956,2,0.01949478795699836,0.5081449588027709,0.9748727791918765,0.4083871164432257,0.06445916222578829,0.13392902243939792,0.2781093283410499,0.21384891843836626,0.4973689786852905,7946.220573633193,4305.061361291689,0.15527958475650647,0.2570416396107346,1.0309744136139982,0.8478822171059037,88.7775528000202,0.2781093283410499
66,65,tpe,21,0.7966010416561999,0.9175333274296764,0.5814272283288575,0,893,4,0.059451004035741224,1.4010173007198443,0.9604317024786975,0.8338443654457202,0.0232402402104924,0.051153699125818006,0.27854085098380543,0.21588164949448022,0.4877680920358539,8021.753007730639,4451.002520138603,0.16311249387483207,0.25063680595730076,1.0118810538387608,0.9714604435185492,154.213698200183,0.27854085098380543
69,68,tpe,45,0.8826339147917142,0.896843345954391,0.3487866485208042,1,980,2,0.045036419094789316,0.25613369013390846,0.9793855522488818,0.9483970715656853,1.2002270430387474,0.1897639370944796,0.27858231721204924,0.21510722865100929,0.49143650541916395,7992.976996685194,4379.9800489058325,0.16106150891660811,0.2539003542441598,1.0273066052947002,0.9463917781580865,225.50056100008078,0.27858231721204924
46,45,tpe,39,0.9042571433522062,0.8807575425313854,0.3414337265007771,1,928,2,0.01983113632630369,1.6764774688864437,0.9795110990527253,0.6373925438024035,0.2967399802600013,0.030601113077904075,0.27859439185549156,0.21473865637200523,0.49317779344737234,7979.2815492278005,4364.458342021275,0.15805239561859508,0.2554229419339454,1.0270001112527523,0.8744670959564016,191.2955607001204,0.27859439185549156
38,37,tpe,36,0.8677863797605516,0.34284268991551003,1.2259347351847163,0,1105,2,0.025125433628807203,0.405626879298106,0.9264619209809535,0.4210129481276961,1.1137633001408729,0.6905840426300547,0.2785968053148273,0.21456502687940068,0.49399705633760105,7972.829806303876,4329.388814192246,0.15624974920482088,0.2561271137417063,1.025464391520325,0.7814782497672463,181.38666710001417,0.2785968053148273
90,89,tpe,18,0.8604610215919715,0.7656769483492519,0.5731287506825827,2,667,4,0.1509447255061811,0.4435256737130584,0.8880243870818583,0.5842608264516791,0.027375536946241293,7.8782451006549055,0.2790737544465701,0.21596242027423038,0.487384723551214,8024.754296848611,4403.197156175824,0.16100483516398584,0.2524453366893591,1.0141451087189166,0.9390821909577037,119.80990580003709,0.2790737544465701
71,70,tpe,17,0.8375938312858733,0.25751384758856294,0.69125275597829,3,1088,2,0.05573600172835726,0.5253694781418284,0.959897000031457,0.7626044415500124,1.7229064983631799,0.1117921337468243,0.279355013576687,0.2153846418185251,0.4901239211403503,8003.285144302719,4373.27302517649,0.158614506916425,0.2558814870326476,1.0285659457406338,0.8662146823472489,114.26668399991468,0.279355013576687
2,1,startup_or_anchor,50,0.3,1.0,1.1,0,800,4,0.03,0.5,0.9,0.9,1e-05,0.3,0.27941064071435323,0.21713381434755646,0.48180872563332355,8068.281080866359,4526.913192052466,0.16600461546020978,0.24910730546718715,1.0076811124362806,0.9999210969057832,325.66665659984574,0.27941064071435323
