trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
67,66,tpe,61,0.620695683893285,1.2198734820054933,0.6860194260007589,2,310,5,0.07456830461375662,0.15432733136748358,0.6547374265874437,0.5334374522611357,6.029959101944246e-06,0.2651523287914458,0.27071206240444046,0.20720091852635023,0.5281341743234604,7699.193494608716,4064.912826765568,0.1508431681010571,0.2540445755123608,1.0299219584863966,0.8379783531242544,356.38121062499704,0.27071206240444046
26,25,tpe,25,0.3786927333319705,0.5641490417694985,1.4477542234414151,2,542,6,0.02081561387518725,8.251749457911616,0.887805528355591,0.7309881047806513,0.20563353736835163,0.2974322736382093,0.2707621038745533,0.20832810269015853,0.5229862587928047,7741.077522164874,4236.819720015179,0.15594920559620476,0.24973600473757904,1.0173959850195642,0.7224756725585233,199.0277836670066,0.2707621038745533
78,77,tpe,34,0.40101814223217525,1.6307945204706278,1.1361983473463348,1,303,6,0.18479551854481133,0.377318721948725,0.7659324560544408,0.4253035869328755,6.518290569694431e-06,0.24893554219152583,0.2709348379016962,0.2079632338238621,0.5246556931714479,7727.51968650587,4151.825416583145,0.15424604434892994,0.2518864163113365,1.0256156047616458,0.9094225244238484,202.70092266600113,0.2709348379016962
81,80,tpe,80,0.787284447448485,1.5253578563916472,1.2447943259229164,5,305,4,0.10263197390370768,0.4423854905085013,0.7143768741564415,0.4000163674849117,4.216451999350567e-06,0.08352041416252896,0.2710301222327745,0.2075845925626241,0.5263850480589656,7713.450094749001,4056.229617190809,0.15206194811588114,0.25378211868060163,1.0308125351292114,0.7886892497373804,441.8030383330042,0.2710301222327745
50,49,tpe,73,0.6289935740603866,1.665107036882495,1.045301634325989,3,446,4,0.09778348427750005,0.32999283702516025,0.7973052434472794,0.4040109134196638,2.4612118442073287e-06,0.8266619981761607,0.27108295329862925,0.20703751926343475,0.528878110470238,7693.121887634142,4055.06963917248,0.1498415182044193,0.25618173614077794,1.0398223035319123,0.7702753451549331,442.7816677919982,0.27108295329862925
100,99,tpe,35,0.2351120990925475,1.7577157266007322,1.4435853279749595,3,618,2,0.13084396660059436,0.31831356201865,0.721420698763033,0.44360416455636414,3.71052835072109e-05,2.751170975845229,0.27115210987641963,0.2081840521164635,0.5236457026764045,7735.724875816705,4110.76103509159,0.1531049544342655,0.2518722310398245,1.0203591693412706,0.8038676272682598,195.23442008399434,0.27115210987641963
55,54,tpe,60,0.47647900320892816,0.7646887479389517,1.076333175313187,4,264,4,0.15261401604532707,0.10381807178226779,0.7348612687750984,0.5702095196083283,2.533552887495475e-06,0.15410265499731288,0.2712687248328698,0.20896250194765856,0.5200766376409511,7764.650596411201,4269.606252050028,0.15883718106871877,0.24922489154084485,1.021961111152205,0.870101665992052,332.5563890409976,0.2712687248328698
63,62,tpe,62,0.5338753313057784,1.3975136900426433,1.426799365876571,3,298,4,0.19463724140600155,0.621094352521851,0.768302406025572,0.4112745616444102,0.0001330572375229882,0.22501027402666313,0.27131881948376424,0.20825710690491428,0.5233113248221044,7738.4394533195,4140.07840404799,0.1547734598918129,0.2522468503153999,1.0282046189277263,0.7772844201578183,331.23186062499735,0.27131881948376424
34,33,tpe,15,0.7101370679271755,0.7879121576236318,0.885724184352401,1,404,5,0.01540365537028286,9.197421588240923,0.7945425005824314,0.5958170910472881,0.012710551075453436,0.10430788017641515,0.27152919860068164,0.20821897555945768,0.5234858698040978,7737.022564779777,4158.128333166135,0.15499509295768948,0.2532408921648958,1.0350079161539412,0.7478815335341099,111.22683387500001,0.27152919860068164
42,41,tpe,22,0.613318840079205,1.8536178875463356,1.3849326240234818,4,501,3,0.15146107652549148,0.14222613689937422,0.6874318053139427,0.5490438171422279,9.18265251948566e-05,0.03614988461419435,0.2716257524491278,0.208915346634104,0.520293216050278,7762.898394317032,4132.459434940033,0.1562511119149119,0.2508416232600951,1.0221171361890917,0.7441817071543638,140.78790854199906,0.2716257524491278
