trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
89,88,tpe,16,0.6229667798221651,0.7488429525258897,0.8136281650200367,362,6,0.11332669498336179,6.770774793242379,0.9372903462748903,0.4077473916622273,0.01997314628196471,0.05820319779434954,0.2724107138169854,0.21075417843729494,0.5118114827493532,7831.22589960754,4315.185762327969,0.15677947432402584,0.24662614151876178,0.9899900673527452,0.9931637502525617,32.15052329200262,0.2724107138169854
39,38,tpe,11,0.1853513051429343,1.0714735904872523,0.86527518228635,231,6,0.02874994565129172,0.3480725053224472,0.9751302915239363,0.6757800889814185,0.5103330422581926,0.12036072329847176,0.27259265816346684,0.21190941721918727,0.5064448512446336,7874.15238360927,4471.70636753963,0.16068301795380818,0.2427329637771182,0.9759512386655504,0.9200236234309951,27.47094712499893,0.27259265816346684
81,80,tpe,10,0.2063665321465331,1.1675660381314816,0.71701044888491,545,6,0.03915938854403038,7.551616297052286,0.9364253214842301,0.5480001408741155,0.023999604940157217,0.05266826331683892,0.27331687167774876,0.21210046214609188,0.5055545301609603,7881.251251070203,4430.119868153364,0.15963914208220167,0.24486563812662762,0.983572090794412,0.9953637735807879,36.557281541998236,0.27331687167774876
76,75,tpe,11,0.5226179665647204,0.8224599109738318,0.7993923648753868,711,5,0.03862322993254487,8.361853994987898,0.9793529995801576,0.4452473403026926,2.6094911886024366,0.01116075987789142,0.2733278092053686,0.21139248576578862,0.5088498693584179,7854.9441903663455,4358.689835645009,0.15679147437360388,0.2477412937583198,0.9934332194348937,0.7694761891518145,29.48399962500116,0.2733278092053686
38,37,tpe,11,0.21140423411062084,1.0842550113840428,1.012875958813992,347,6,0.023850026395891816,0.5373442982873397,0.9615710001474627,0.7084790435820064,0.48174124138880325,0.12090879833004073,0.27345674610540854,0.2127563020833708,0.5024920338857286,7905.621020347843,4478.603466679741,0.16126845942915932,0.24280177608815107,0.9742622650067354,0.9739327170972792,35.7826827079989,0.27345674610540854
84,83,tpe,15,0.22654928418963963,0.7966779451221667,0.8084454279242936,893,5,0.025476595799105325,4.443582317615923,0.9618039501718922,0.8038789144815284,2.683398759211505,1.7213437170940125,0.27361893614420163,0.2124374535966734,0.5039821029922508,7893.773214787878,4384.74444732741,0.15970055201364733,0.2447259301901128,0.9812371807181789,0.7610230262334609,46.85724824999852,0.27361893614420163
95,94,tpe,11,0.36307680666411624,0.2563935601728522,0.8657839505842932,420,6,0.02638138052837958,2.7836963296741644,0.8888144652103838,0.47595649390271166,0.010945044931429974,18.70839479662208,0.2736655488976301,0.21172870231625923,0.5072862932199282,7867.437360264306,4329.228837093684,0.15787778403281968,0.2477473863254835,0.9958683729196784,0.8700477858810332,35.82508433399926,0.2736655488976301
57,56,tpe,10,0.5078567293680647,0.8418782840711656,0.7560140109314398,447,5,0.03773446542123123,0.40065202996398264,0.8075477011816572,0.4414344604420455,6.508570979433165e-06,0.46562873476683225,0.2737118207885269,0.21178849176231004,0.5070079819782387,7869.6590227808365,4362.491335354349,0.15742815189245993,0.2476933161048675,0.9935379756794093,0.9670515281231452,33.967050082999776,0.2737118207885269
87,86,tpe,15,0.6737990711073938,0.33145767369564505,0.7893608466551811,497,4,0.015844009587596353,1.39106802854334,0.7752158547604916,0.7330111377696795,0.09605386256014062,0.13148201531217477,0.27389786568406144,0.21218094467115292,0.5051792196164424,7884.241829190159,4382.046107870313,0.1585028673312579,0.24686768405163415,0.9907038623673444,0.8766947160298909,35.64253920899864,0.27389786568406144
100,99,tpe,18,0.6119574235667274,1.9387563584012084,0.7742792013838123,306,5,0.07488226877273783,7.433255554231361,0.9684542719638437,0.5694742680513607,0.004038260457492032,0.36173401080512346,0.2739446667100175,0.21180114534298083,0.5069490713115605,7870.129205860511,4360.600120156432,0.15802521616297213,0.2485740854681466,1.000972103502777,0.9438268012712431,32.70893516599972,0.2739446667100175
