trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
12,random_initialization,28,0.6671846469580427,1.7390379386577963,0.8045035696276024,4,346,4,0.012286173879518953,1.5830023449643067,0.6730580922528763,0.5298293976740824,0.0014336952112629277,0.14783577470462023,1.887258597084098,2.6334204685094034,-59.73583844074954,2.545613714211449
47,expected_improvement,29,0.2670940780020896,1.8092837870862373,0.6527719576163853,1,583,2,0.10967276651216677,3.4936911318402433,0.8506491087205861,0.7250824455377586,0.0016459513085590172,0.17050753235716448,1.896451600769827,2.6548854704642553,-60.5926693815583,2.560172968385891
10,random_initialization,55,0.3311686333324676,1.2676658097615148,0.835113944955445,1,571,1,0.05462448407251069,2.1993576684709764,0.9039268343631699,0.4762289000590122,0.0012119134739335758,0.20184089331056942,1.917751462067143,2.6776268258124434,-61.7655258737076,2.587158168520254
11,random_initialization,61,0.8510257325380758,1.0522145997216161,1.01462987161382,3,270,3,0.010822494029906716,3.8806610137089206,0.6805672924434317,0.3412957531026196,0.00011991558054174417,2.677287341919801,1.932639660579487,2.703161424866482,-62.893357262463944,2.608430016796108
36,expected_improvement,59,0.05413232295850813,1.0530919209367018,1.2889175341054544,3,106,2,0.01701690291989743,1.3807098553628698,0.6207894017332062,0.6398891601898525,0.016437624855338392,30.440439471205064,1.9521125029179573,2.6403205650501587,-61.4085547995902,2.612192644180497
13,random_initialization,30,0.5820112742062199,1.023446028941497,1.4636131191516955,5,567,3,0.057881152197002676,9.092282585247853,0.7664179189986332,0.992388161699014,0.0002955402989787107,83.77644637914192,1.961746344394511,2.815642218660054,-67.13245581871212,2.6656568990595244
34,expected_improvement,61,0.11378697969362044,0.6315951694171821,0.9168331137083991,4,104,3,0.021571754780005427,13.152277846381766,0.8942916104476247,0.32498651085175284,0.024294239909980392,24.418172736976686,2.04924377743881,2.814046036145564,-69.13048604030261,2.752755286475201
17,expected_improvement,28,0.3070529646760951,0.7024150036575594,0.5230490674895533,0,121,3,0.09218554930142858,1.6070589826156616,0.6293092059487337,0.7755656491359877,0.05488553500173978,82.09428759083647,2.1002746923365643,2.9167170340428243,-73.7503193794928,2.8294539508472702
26,expected_improvement,73,0.948918456355936,1.131539194679207,1.0152400348120543,3,127,1,0.014961217707536893,3.7682293603488373,0.8173912584016911,0.8725373747848102,0.7006450384330768,69.22147299712704,2.138475617172438,2.9345033048267717,-75.31033273865597,2.872101443379131
43,expected_improvement,27,0.8024634218481383,0.2997926578557878,1.1812588823644925,1,166,2,0.010329333357579767,6.999415418484529,0.9293438781796758,0.49841156061163033,0.005570681883565723,34.69903674292754,2.153048721987968,2.9666056664062617,-76.76347093535308,2.8947001385895335
33,expected_improvement,61,0.9426573767117706,1.142151571960747,1.0429966918507356,3,233,4,0.01119964881599247,1.6863909076048416,0.8532633292046989,0.8464502994793424,0.007759538950303535,32.54312941391175,2.156857012613896,3.0805738994507736,-80.82708580057012,2.9270004874765894
39,expected_improvement,18,0.9314167007818771,1.7420869149321423,1.420987761347746,5,211,3,0.05852944094004605,1.12196530454064,0.7243569959342907,0.6411631187902924,0.018581779115513033,63.23335086806409,2.151313708167173,3.139788173248342,-82.80780846752918,2.9362607514792582
22,expected_improvement,15,0.14023597842256247,0.29916012541803816,1.4147452276936268,3,478,3,0.10634036773181364,4.921390951710099,0.9974321665047319,0.4693650227974586,0.5700479286897657,20.96573820714558,2.157013810315595,3.1276019999211395,-82.50972630461958,2.93891431029588
15,random_initialization,80,0.6491049575001835,1.3955713251261974,0.42701522783673385,1,112,3,0.09928762539293103,11.990391191473062,0.9068919374414655,0.5314910318388602,0.0007266000668614969,0.7259494314539126,2.172810272331021,3.1145986819410796,-82.43901643964006,2.9514599428162906
38,expected_improvement,27,0.4579251639087163,0.7762926083537476,1.459823259128633,2,277,2,0.12483931033660337,1.173968581616179,0.826309065201359,0.3365979738635106,0.010813453841839661,93.61984034548081,2.1835369455775586,3.1110827744488025,-82.58498985823005,2.9613076391897595
3,random_initialization,65,0.4313609333926362,1.4213520532806454,1.380020755014967,3,166,2,0.014966174086994223,1.223124613651699,0.7003812891326433,0.5651606840714589,0.0035735556103823358,2.6871006842283713,2.2703850453677177,3.203556122604958,-88.20793791861091,3.071274076018957
42,expected_improvement,74,0.2640328927249994,1.970466718304756,0.5708282020686728,4,573,3,0.010519912798419939,1.4970494955589246,0.6966411968930121,0.7090960280415488,0.0006272245661549348,0.21942942877281793,2.3056006322635207,3.3754014529428034,-95.66533223665749,3.1494509954992216
28,expected_improvement,79,0.73865033211531,0.6388977021514464,1.363624826995758,3,151,3,0.050820237532937795,4.921566121225583,0.6134486919494045,0.5479845458230419,0.00024840531370740016,58.63361831716481,2.3193034981792406,3.3590673867963923,-95.40036530713147,3.1590703448783386
