trial_id,Sample,Temperature,Trial,reservoir_seed,P_peak_to_peak,P_net_change,dPdt_max_abs,dPdt_abs_auc,state_mean_rms,state_temporal_variability,state_mean_abs,state_path_length,state_saturation_fraction
40C__cement_trial_1,cement,40C,1,42,4.084055944056472e-06,-4.084055944056472e-06,3.507972027971396e-06,4.084051871895949e-06,0.3502677441080528,0.04092846103712848,0.2816756805026988,1.007737893415827,0.0
40C__cement_trial_1,cement,40C,1,43,4.084055944056472e-06,-4.084055944056472e-06,3.507972027971396e-06,4.084051871895949e-06,0.5366901849852501,0.05394920835065033,0.4528102923822025,1.017851275681973,0.0
40C__cement_trial_1,cement,40C,1,44,4.084055944056472e-06,-4.084055944056472e-06,3.507972027971396e-06,4.084051871895949e-06,0.5475480466785758,0.06041960053596072,0.5211435721317118,1.2195467851961455,0.0
40C__cement_trial_2,cement,40C,2,42,3.3627972027979423e-06,-3.3627972027979423e-06,2.324006525687177e-06,3.362811340013274e-06,0.35029744904235116,0.04032097153228157,0.2816024451007645,1.00773670083632,0.0
40C__cement_trial_2,cement,40C,2,43,3.3627972027979423e-06,-3.3627972027979423e-06,2.324006525687177e-06,3.362811340013274e-06,0.5370913419905556,0.053185690262739595,0.4530292753933179,1.0178505238817697,0.0
40C__cement_trial_2,cement,40C,2,44,3.3627972027979423e-06,-3.3627972027979423e-06,2.324006525687177e-06,3.362811340013274e-06,0.5479303066209665,0.05951382194261333,0.5215001849149814,1.2195467128192883,0.0
40C__cement_trial_3,cement,40C,3,42,3.398881118881576e-06,-3.398881118881576e-06,2.3586098040458484e-06,3.3988688054376518e-06,0.35029744501310744,0.040320959325336816,0.28160244335105467,1.0077366127232725,0.0
40C__cement_trial_3,cement,40C,3,43,3.398881118881576e-06,-3.398881118881576e-06,2.3586098040458484e-06,3.3988688054376518e-06,0.5370913489481851,0.053185685009723295,0.4530292828254174,1.0178504823269856,0.0
40C__cement_trial_3,cement,40C,3,44,3.398881118881576e-06,-3.398881118881576e-06,2.3586098040458484e-06,3.3988688054376518e-06,0.547930302160527,0.059513819927024834,0.5215001826205945,1.2195467106042521,0.0
40C__cement_trial_4,cement,40C,4,42,4.399580419581412e-06,-4.399580419581412e-06,3.7880322408707923e-06,4.399600055602947e-06,0.35029745198417206,0.04032110089215531,0.2816024733317139,1.0077393684571374,0.0
40C__cement_trial_4,cement,40C,4,43,4.399580419581412e-06,-4.399580419581412e-06,3.7880322408707923e-06,4.399600055602947e-06,0.5370914235084878,0.05318575043288267,0.45302937555733847,1.0178516099172161,0.0
40C__cement_trial_4,cement,40C,4,44,4.399580419581412e-06,-4.399580419581412e-06,3.7880322408707923e-06,4.399600055602947e-06,0.5479302786855229,0.05951378609438003,0.5215001716956985,1.2195460804301943,0.0
40C__cement_trial_5,cement,40C,5,42,4.533706293706821e-06,-4.533706293706821e-06,3.8885484263635764e-06,4.533695036255527e-06,0.3502974489506622,0.04032116203108781,0.28160248072509186,1.0077402058870026,0.0
40C__cement_trial_5,cement,40C,5,43,4.533706293706821e-06,-4.533706293706821e-06,3.8885484263635764e-06,4.533695036255527e-06,0.5370914515990153,0.053185780176846206,0.45302940685541476,1.0178520565435099,0.0
40C__cement_trial_5,cement,40C,5,44,4.533706293706821e-06,-4.533706293706821e-06,3.8885484263635764e-06,4.533695036255527e-06,0.54793026815328,0.05951378341485786,0.521500168075699,1.2195461249709596,0.0
40C__cement_trial_6,cement,40C,6,42,3.908111888112332e-06,-3.908111888112332e-06,3.0237732223884622e-06,3.9080523585047496e-06,0.3502677125825558,0.04092840462629678,0.281675662228413,1.0077369680248371,0.0
40C__cement_trial_6,cement,40C,6,43,3.908111888112332e-06,-3.908111888112332e-06,3.0237732223884622e-06,3.9080523585047496e-06,0.5366902205796549,0.05394919217171901,0.45281032459640036,1.017851073651231,0.0
