outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
2,bismuth,41,expected_improvement,49,0.7271907473891519,0.5265766584165599,0.8654495200905299,1,321,4,0.01683047856768655,1.4032175754477765,0.7066643733572064,0.4344834573240054,3.7371700301704545,2.5751467265580024,1.9770992245043983,2.8854402587592594,-69.77302804766735,2.698459289194213
2,bismuth,48,expected_improvement,33,0.6621173666868789,1.5538420227339909,1.3772802642845985,0,171,3,0.012127536507322194,4.391056943164689,0.9131449579925383,0.32308665739719494,1.6089947695864248,17.376923161935995,2.0132954652793815,2.8760886952270743,-70.30047998745052,2.7323176390861503
2,bismuth,24,expected_improvement,56,0.7000615360306429,1.7332700881357246,1.4416077810445629,3,223,4,0.0231118504173139,2.7295679873317793,0.8649438937776599,0.3468839170152124,0.0009683050846564033,0.16196247890808185,2.0341394751277955,3.019285686284117,-75.66591026129893,2.788960896698825
2,bismuth,35,expected_improvement,35,0.6630539384717552,0.9031352420437689,0.42472122357877334,1,134,4,0.010640651512764904,1.1763842716203394,0.6496917352207682,0.4877963241423039,0.7390788327633098,0.2710436451336512,2.069751250599771,2.927196676420673,-73.35131986794991,2.801550419704939
2,bismuth,2,random_initialization,52,0.6271182410759883,0.33176979426904335,0.660294151323422,1,215,4,0.018076753301264372,2.038314342434667,0.701272110251338,0.43455449438154026,0.001971217126844381,0.16318802534186994,2.047898392325648,3.02138033455587,-76.06519071836043,2.8032434759646154
2,bismuth,26,expected_improvement,19,0.8378100665005732,0.5747023864452157,1.1488581922063816,1,196,3,0.014924285418373115,1.146047028102476,0.7758414099899187,0.4732573006735395,1.078214331069541,1.5382137376879461,2.13208816258587,3.1702678312991734,-83.43284753363136,2.9246551204106632
2,bismuth,1,random_initialization,37,0.5833010515480417,1.5403279778922552,1.4819114739080286,4,300,3,0.036533161412682376,3.2201422991222355,0.6293751497033715,0.309906724524208,0.0022818290554431214,49.42401296016916,2.1314062028660916,3.1866172921831057,-84.01544514412812,2.928060525911868
2,bismuth,47,expected_improvement,68,0.6616270103648808,0.25344253794077753,1.3308417695471555,1,129,3,0.012131588242125457,3.492597593337159,0.7820642046294467,0.3311927730642122,0.01271308287954969,0.3144767823342192,2.2177353294574313,3.198838501737325,-86.64472983324919,3.0174449548917623
2,bismuth,13,random_initialization,80,0.8292338227771628,0.7132922873504746,0.45088944765544414,3,165,2,0.06570496908811892,2.207999998733185,0.7879551337752444,0.509166821194152,0.000473192823444079,3.5504690500248,2.2023924594094026,3.2714111233253456,-88.96304318157686,3.020245240240739
2,bismuth,4,random_initialization,54,0.08114130477792507,0.6678233588543253,0.4971978000336076,3,509,2,0.07564989276264943,3.0191098005602504,0.9891901442898159,0.8803679770574195,0.0018740570049309519,4.805656104850644,2.1972700852760028,3.2959056870721795,-89.7617934595279,3.0212465070440477
2,bismuth,10,random_initialization,23,0.07782525133173486,1.453209641555643,0.46645830251120035,3,362,3,0.028056388550076646,13.929753448888984,0.9000178850346133,0.8449131443283737,0.8176163797384712,3.925804194384143,2.2105884657660893,3.3091403417704837,-90.60725831975326,3.03787355120871
2,bismuth,46,expected_improvement,15,0.8351536452536947,0.5358977538212684,1.1465483641014373,1,319,4,0.02363765400594019,3.677564901109295,0.8344556198350996,0.3934013198693107,0.0002837305215295547,0.6515537950466498,2.265314469421482,3.4077706272174675,-95.8555596413475,3.117257126225849
