Sample,Temperature,P_peak_to_peak,dPdt_max_abs,state_mean_rms,state_temporal_variability,state_path_length,state_saturation_fraction
copper,60C,2.1739370629371398e-05,2.347299147154298e-05,0.4783948415086463,0.05113436909346723,1.0817337659319537,0.0
cork,30C,3.8449572649549023e-07,5.978866079251666e-07,0.47839447918344014,0.051133228738381026,1.0817087455692116,0.0
cork,40C,5.873426573433719e-07,5.568459754267626e-07,0.47839448312138244,0.051133215987125884,1.0817086054955203,0.0
cork,50C,1.2244522144529413e-06,9.588606775645687e-07,0.4783041385693914,0.051386191345639896,1.0817090181443973,0.0
cork,60C,1.639277389277891e-06,1.4705071535888532e-06,0.47825896031740556,0.051512703778465785,1.0817096699451683,0.0
graphite,30C,2.9444522144527556e-06,2.926197133827188e-06,0.47825898872786027,0.05151278337557671,1.0817112235452901,0.0
graphite,40C,9.350209790210686e-06,9.976587043359645e-06,0.47834945739915496,0.05126015803905414,1.0817184612261463,0.0
graphite,50C,1.463696969697031e-05,1.4404606412176541e-05,0.47834953523254803,0.05126032197254472,1.0817232999075168,0.0
graphite,60C,2.111655011655088e-05,2.1953682341526497e-05,0.47839482247023796,0.051134250744994954,1.081731658757883,0.0
gypsum,30C,9.907925407933486e-07,8.895996179905406e-07,0.4783944862981468,0.05113324180140816,1.0817091567691515,0.0
gypsum,40C,2.0192540792545116e-06,1.8859746666459056e-06,0.47830415391350734,0.05138624027868674,1.0817100219476499,0.0
gypsum,50C,4.18503496503567e-06,3.301867719207979e-06,0.47834936013673995,0.051259805999453054,1.081711875514484,0.0
gypsum,60C,6.2782517482526026e-06,5.626367910581186e-06,0.47825903636349604,0.05151286499360435,1.081713984822791,0.0
iron,30C,3.1668531468539204e-06,3.1380177416687344e-06,0.4783041685227602,0.05138631345094603,1.0817115161694326,0.0
iron,40C,9.073449883450511e-06,9.635624293769273e-06,0.478349449137079,0.051260162671914,1.0817185505878812,0.0
iron,50C,1.71731235431244e-05,1.8330682611182906e-05,0.4783947663778441,0.05113406559850466,1.0817272461661493,0.0
iron,60C,2.174501165501241e-05,2.3254021620960225e-05,0.47830448406895076,0.05138725407580477,1.0817324732244233,0.0
nickel,30C,3.1337995338001317e-06,3.1159034216332733e-06,0.4782589907724925,0.05151278427756656,1.0817113008101438,0.0
nickel,40C,9.215571095571865e-06,9.519592489676702e-06,0.47839462809614397,0.0511336760713971,1.0817186344742322,0.0
nickel,50C,1.7000139860140467e-05,1.7785200768394636e-05,0.4781688878070854,0.051766431969173826,1.0817263168574962,0.0
nickel,60C,2.1518811188811845e-05,2.189891505103848e-05,0.4783044776285546,0.051387217992566084,1.0817318140504901,0.0
pdms,30C,5.413986013988928e-07,5.02109286756693e-07,0.47825894951901454,0.05151265885171165,1.081708493749951,0.0
pdms,40C,1.7051048951055978e-06,1.6990010350941306e-06,0.47834932578777234,0.051259759054351435,1.0817099147274811,0.0
pdms,50C,1.6479020979028173e-06,1.0853979373688933e-06,0.47830414396821147,0.05138619315438599,1.0817093555090926,0.0
pdms,60C,2.2345454545464674e-06,1.4995750355766668e-06,0.47834931991881535,0.051259722487313406,1.0817098255006377,0.0
ps_foam,30C,4.328749028737349e-07,4.854032043716523e-07,0.4783944782176152,0.051133218817060226,1.0817083255482696,0.0
ps_foam,40C,2.736161616167353e-07,2.2736696871265267e-07,0.47834930312202517,0.051259682870761276,1.0817082563697216,0.0
ps_foam,50C,6.377389277397436e-07,4.486023025754494e-07,0.47834930838496653,0.051259686934673254,1.0817084203202,0.0
ps_foam,60C,1.489044289042927e-06,2.2097427709808346e-06,0.4783493235239311,0.0512597795127821,1.0817101504826117,0.0
pu_foam,30C,5.664366744371368e-07,5.081824250302515e-07,0.4783493043634496,0.051259699342958445,1.0817086975528365,0.0
pu_foam,40C,5.328438228440199e-07,7.303234485133488e-07,0.4782589528898723,0.05151267136058869,1.0817086077360747,0.0
pu_foam,50C,7.529370629377564e-07,5.03261258350173e-07,0.47830413237122316,0.05138616624772776,1.0817084601484188,0.0
pu_foam,60C,1.7060062160061443e-06,2.2484182386238286e-06,0.4783493197486519,0.051259793910442567,1.0817103402934936,0.0
titanium,30C,2.815617715618327e-06,2.763127507635815e-06,0.4783041610803502,0.05138628284078046,1.081710962901935,0.0
titanium,40C,8.690396270396794e-06,8.84712244200505e-06,0.47834943833167565,0.051260102369639605,1.0817175364493852,0.0
titanium,50C,1.6335687645688284e-05,1.8410334124582e-05,0.47834958772373715,0.0512605778681646,1.0817272321774813,0.0
titanium,60C,2.0926503496504125e-05,2.151616034310845e-05,0.478214117800711,0.05164011808909143,1.0817305257675114,0.0
wood,30C,6.362237762243334e-07,8.014219910824461e-07,0.47825895327361856,0.051512674132366036,1.0817088875475296,0.0
