optuna_trial_number,performance_index,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state,trial,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
75,0.2837107703386243,0.7326635405288922,0.5296689144404407,0.0781141033394325,0.0907225680378306,4,7.22333838945096,1198,0.1427141915264831,0.0719066886040204,21,0.8493178421890686,0.7867644162614402,75.24830037500942,0.1745830894056756,0.2837107703386243,4838.869279029792,0.2228685591885356,0.4540752505576778,8281.373332034604,0.8779575222816405,0.2433688446003546,0.9784536765575578,COMPLETE,76,21,0.0781141033394325,0.5296689144404407,0.8493178421890686,1198,4,0.0907225680378306,7.22333838945096,0.7867644162614402,0.7326635405288922,0.1427141915264831,0.0719066886040204
54,0.2841630860257808,0.4938382743009353,1.818251136970061,0.2820150921297988,0.0231243773862697,3,5.091550779424413,932,0.0727788173684214,0.0764612639598524,14,0.3738999109798535,0.9969391481572514,42.36544262501411,0.1717520464228619,0.2841630860257808,4783.1332944012065,0.2218599419801815,0.4590053594183519,8243.895027863267,0.7171303215387912,0.2492125761823971,1.006719018776825,COMPLETE,55,14,0.2820150921297988,1.818251136970061,0.3738999109798535,932,3,0.0231243773862697,5.091550779424413,0.9969391481572514,0.4938382743009353,0.0727788173684214,0.0764612639598524
57,0.2844196443804066,0.5242010486166455,1.574913815590666,0.475158426953297,0.075821480466073,2,4.1198688226252065,998,0.0015625037288191,4.566982655410211,11,0.5497025351673748,0.9875505018067284,33.82156800001394,0.1710018177686672,0.2844196443804066,4711.126469632925,0.2219338267707947,0.4586449705072938,8246.640446673598,0.7773045445290097,0.2499432704384475,1.0076069324817298,COMPLETE,58,11,0.475158426953297,1.574913815590666,0.5497025351673748,998,2,0.075821480466073,4.1198688226252065,0.9875505018067284,0.5242010486166455,0.0015625037288191,4.566982655410211
28,0.284760877899472,0.7268416477274948,1.7185098560345962,0.3797516433013425,0.017392498564069,4,0.3340725671070219,811,0.2881026799487565,0.0308933672348968,10,0.3593910693366215,0.8734312438820138,56.36286179200397,0.1746583006177904,0.284760877899472,4831.831297982168,0.2230935239002219,0.4529725756109539,8289.732594421324,0.7915457234036004,0.2466694159970003,0.9971339690336988,COMPLETE,29,10,0.3797516433013425,1.7185098560345962,0.3593910693366215,811,4,0.017392498564069,0.3340725671070219,0.8734312438820138,0.7268416477274948,0.2881026799487565,0.0308933672348968
49,0.2847633689464771,0.5026812189625167,1.6518342914317818,0.1769022107378207,0.0176282882983525,2,1.8962027965394872,1187,0.0565850229341599,0.0233215255487,11,0.6037160681130294,0.8098987581657837,36.091209209000226,0.1702787880006586,0.2847633689464771,4782.713116144519,0.22210367873041,0.4578160261328599,8252.951823629923,0.686604675298026,0.2506387608642681,1.007915079472646,COMPLETE,50,11,0.1769022107378207,1.6518342914317818,0.6037160681130294,1187,2,0.0176282882983525,1.8962027965394872,0.8098987581657837,0.5026812189625167,0.0565850229341599,0.0233215255487
81,0.2850585345447172,0.5866572946686486,0.691147563517124,0.3371118198823635,0.116145955719046,3,9.092743555556442,1111,3.6438677806934057e-06,0.0211769462484866,16,0.6165118593375847,0.93201101841363,49.99670129100559,0.1734422031382825,0.2850585345447172,4754.965791392983,0.2227466585475549,0.454672287460092,8276.84373521282,0.8432513088662942,0.249247503988649,1.009169689594781,COMPLETE,82,16,0.3371118198823635,0.691147563517124,0.6165118593375847,1111,3,0.116145955719046,9.092743555556442,0.93201101841363,0.5866572946686486,3.6438677806934057e-06,0.0211769462484866
11,0.2854687194441991,0.7406016396526415,1.333761831990786,0.1133817721194509,0.0151255705363832,3,0.1793522910128987,607,0.8782834980356521,0.0480239136816854,11,0.534888304532073,0.8851609042581579,34.366836667002644,0.1733262816334525,0.2854687194441991,4855.707211121875,0.2229627724700101,0.4536135951901434,8284.874119043621,0.6621653599419304,0.250023787896756,1.0121396547443389,COMPLETE,12,11,0.1133817721194509,1.333761831990786,0.534888304532073,607,3,0.0151255705363832,0.1793522910128987,0.8851609042581579,0.7406016396526415,0.8782834980356521,0.0480239136816854
93,0.2855459485027471,0.9892778346244318,1.6818281134083242,0.3321958678929872,0.0641703885917778,2,4.8120974643351655,1175,1.2111747390763954e-05,0.0961048680974459,16,0.7425090832342514,0.7306310022259556,47.190708708018064,0.1767710695766986,0.2855459485027471,4881.942324473649,0.2243354562667599,0.4468651634674302,8335.880447747455,0.8470818074043799,0.2448419689439487,0.9885672368485614,COMPLETE,94,16,0.3321958678929872,1.6818281134083242,0.7425090832342514,1175,2,0.0641703885917778,4.8120974643351655,0.7306310022259556,0.9892778346244318,1.2111747390763954e-05,0.0961048680974459
44,0.2855956866629312,0.5823891973889584,1.9974638296093967,0.308667670532875,0.0540778542163034,3,0.4796924275341255,965,0.0039242513962915,0.1390603961969506,11,1.0245357569512366,0.7135529067598205,44.896701874997234,0.1764423251372104,0.2855956866629312,4788.097193269648,0.2238123205783088,0.4494419044663433,8316.441716886771,0.8133146712732665,0.2471334643384892,1.0035198122582991,COMPLETE,45,11,0.308667670532875,1.9974638296093967,1.0245357569512366,965,3,0.0540778542163034,0.4796924275341255,0.7135529067598205,0.5823891973889584,0.0039242513962915,0.1390603961969506
51,0.2856694304608106,0.5364942289498498,1.5570158031265116,0.1340406374524661,0.0273021246791658,3,5.7385566557947625,1089,0.0616673255495823,0.1678375440790791,16,0.5580552496942687,0.7877122596441566,51.512239375006175,0.1753005073390288,0.2856694304608106,4834.093212572642,0.2237243318446247,0.4498747080509612,8313.17222227836,0.783210382604191,0.2477803944647436,1.0030184205416803,COMPLETE,52,16,0.1340406374524661,1.5570158031265116,0.5580552496942687,1089,3,0.0273021246791658,5.7385566557947625,0.7877122596441566,0.5364942289498498,0.0616673255495823,0.1678375440790791
