number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,params_washout,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
36,0.26656783137804074,0.500047952564699,1.668068381696127,0.2519890485576112,0.07184162763817761,4,0.1549194574615411,312,1.001344338037964e-05,0.869361899292627,13,0.7035574113848098,0.7973236274967719,4,91.27328295799816,0.1555029227082008,0.26656783137804074,4247.916316174078,0.20583706010158478,0.5343256539755936,7648.5151000040805,0.8246539817234255,0.24292308510582375,0.9880190230513214,COMPLETE
37,0.2636819941492529,0.40840933365686494,1.4756769704005421,0.45444541344405387,0.12508770808963476,4,0.38931570358596573,465,4.5754273492324846e-06,0.07586556408347483,42,1.423098870901094,0.7236446624045387,4,256.75479266699404,0.15395398293574242,0.2636819941492529,4117.4147332335315,0.20309554849066921,0.5466475348286508,7546.6457236023,0.7894167777925649,0.24234578263433476,0.9923852925045343,COMPLETE
38,0.2647876745579284,0.5416640153371796,1.8544994759960889,0.5943760059782692,0.17372500774942304,3,0.22211663830429568,449,2.5263619737738223e-06,0.16052711878005518,17,1.2834488178985748,0.6784104524658192,4,113.71174712500215,0.15325518371807023,0.2647876745579284,4090.2556802109384,0.20394041464284537,0.5428678475723236,7578.0393488280615,0.8125448578688466,0.24338903966033218,0.991760756093638,COMPLETE
39,0.27402077957529763,0.4560653556140496,1.887446332882835,0.3230867087073823,0.16823072866237873,2,2.130262897215373,393,2.81859825022944e-06,0.11776447769648775,55,1.4767661312935765,0.6820692078088085,4,296.58043845799693,0.15375411958240498,0.27402077957529763,4127.083574445486,0.209884533640165,0.5158320405926826,7798.911546889882,0.8894797946266063,0.2565449837405306,1.0419715148108295,COMPLETE
40,0.2839387017904764,0.5679921587575032,1.3046613049483333,0.47700363555322983,0.16278121856897473,5,0.6053895485965881,654,3.943236211964611e-05,0.08351173467286871,55,1.4687975012333148,0.7637416470310432,5,332.8718850000005,0.16274157989283466,0.2839387017904764,4322.769483780528,0.21828452788502575,0.4763018012275021,8111.039415360494,0.8508607870014558,0.26261669562180273,1.0691563511011732,COMPLETE
41,0.2716257524491278,0.5490438171422279,1.8536178875463356,0.613318840079205,0.15146107652549148,3,0.14222613689937422,501,9.18265251948566e-05,0.03614988461419435,22,1.3849326240234818,0.6874318053139427,4,140.78790854199906,0.1562511119149119,0.2716257524491278,4132.459434940033,0.208915346634104,0.520293216050278,7762.898394317032,0.7441817071543638,0.2508416232600951,1.0221171361890917,COMPLETE
42,0.2630959525310817,0.4574814644101458,1.105009534338257,0.5644225044719061,0.08267565785834677,5,0.10698447103245798,369,1.025092562456751e-06,0.14891799088550642,53,0.9440947406952187,0.6767792981995637,4,334.6132920839955,0.14988642419751205,0.2630959525310817,4055.5604843245883,0.20196303432461737,0.5516894630031628,7504.563643262923,0.7878989307323782,0.24453167282585728,0.9958382770087675,COMPLETE
43,0.2648139836610198,0.4626653188452329,1.0663068625462937,0.6033962557900565,0.10219880353024596,6,0.18684732162373005,503,1.968384071693775e-05,0.030749467063093793,42,1.083047504987734,0.6925018768285843,5,274.393412874997,0.15217251026773576,0.2648139836610198,4099.33226214815,0.2034152764777707,0.5452190095134754,7558.526209730661,0.8117459121412689,0.24559482873299643,1.0032890042073264,COMPLETE
44,0.2817235451064185,0.4117158593835682,0.44145883134047503,0.44967253750701347,0.03818301230411476,4,0.1222700737271193,422,1.8940797588343192e-06,0.36408432097155674,71,0.8881704913768064,0.7264462671959631,3,418.8383639579988,0.15875412910245545,0.2817235451064185,4288.957914309516,0.21586360197397556,0.48785373275119026,8021.082396068048,0.7552283823803977,0.2634397725297718,1.0714137278201001,COMPLETE
45,0.28242380587515736,0.49384423269913524,1.2777332830216857,0.7888062147159662,0.034180240856442466,5,0.3076140613386016,371,8.314172830360143e-06,0.057437718432476005,66,0.6087473894322251,0.7468089758602943,4,424.4078874580009,0.16075292819386874,0.28242380587515736,4282.868909758453,0.21627876454215578,0.48588185399451256,8036.5090503844085,0.7897147171467122,0.26458016533200623,1.083192921928523,COMPLETE
46,0.2683075876629609,0.4960627603041551,1.4115615098452652,0.36368536970996823,0.08697987237158901,2,0.1102618591364193,379,5.670633801783788e-06,0.9375824032597659,52,1.1042266006461636,0.7495603193813303,5,280.95673612500104,0.14417445609647578,0.2683075876629609,3870.868360528524,0.20414399431134184,0.5419547449750685,7585.60398353369,0.7733413159195192,0.2566543734064764,1.0371275933195139,COMPLETE
47,0.2627166165893884,0.4032429130293159,1.3826709584898982,0.6721327296763935,0.08122931283443524,4,0.3583290948587321,259,6.996127034877572e-06,0.18611859916455065,64,1.250551688018414,0.6894311116294056,4,356.07071541700134,0.1511058125691394,0.2627166165893884,4080.70364289766,0.20200896355418138,0.5514855355970463,7506.2702863993845,0.853579301007917,0.24283061214082804,0.9900518679754962,COMPLETE
48,0.26671683314746447,0.5937343294411427,1.7638768494129708,0.7627913355071241,0.055251430186232194,4,0.9167631110193405,205,2.2213177731304513e-05,0.8961558798215825,57,1.3845541843816855,0.7471965084535696,5,342.7601731670002,0.1522704667447414,0.26671683314746447,4119.3253113132005,0.20481932726131286,0.538919194408302,7610.698076224454,0.8111133372096883,0.24759002354460638,1.0085263484299354,COMPLETE
49,0.27108295329862925,0.4040109134196638,1.665107036882495,0.6289935740603866,0.09778348427750005,4,0.32999283702516025,446,2.4612118442073287e-06,0.8266619981761607,73,1.045301634325989,0.7973052434472794,3,442.7816677919982,0.1498415182044193,0.27108295329862925,4055.06963917248,0.20703751926343475,0.528878110470238,7693.121887634142,0.7702753451549331,0.25618173614077794,1.0398223035319123,COMPLETE
50,0.2720955075709327,0.4607051429031105,1.0844591384234024,0.6581226653715968,0.06992032475679275,4,0.14259856536132165,232,1.1670156030466686e-05,0.10742279019942687,48,1.4017342592695077,0.7222958144678776,2,266.9466687499953,0.15560039886526972,0.2720955075709327,4165.319200114655,0.20861374697953636,0.5216772691588256,7751.69152267313,0.7848080384570294,0.2539270423655855,1.0392898248996751,COMPLETE
51,0.26429981859579355,0.4237867605975594,1.9863164299896527,0.24124762828237836,0.16308445478469225,6,0.12366072426098426,375,6.025216129116354e-06,0.1186350610519878,21,1.2159091078815911,0.709845090300442,2,132.56384479200642,0.15334194766049838,0.26429981859579355,4109.1739998825915,0.20381562403213058,0.5434271123702308,7573.402366207342,0.8942883724958793,0.2419367782546518,0.984168977038355,COMPLETE
