number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_elapsed_minutes,user_attrs_pooled_nrmse,user_attrs_pooled_r2,system_attrs_fixed_params,state
12,0.3453964163611206,2026-08-25 21:51:51.880472,2026-08-25 21:52:04.337907,0 days 00:00:12.457435,0.7482097368849718,1.9151207895453684,0.6800836633086443,0.04847814400231732,2,1.6520707651702853,306,0.0009280586247710999,0.03010393263839273,18,0.5469853450129386,0.7513293827191606,0.2075789736166674,0.22596666005124205,0.43879193243328063,,COMPLETE
13,0.3759488729006697,2026-08-25 21:52:04.381440,2026-08-25 21:52:16.502008,0 days 00:00:12.120568,0.6233079339533193,1.9605545171069811,0.5550696432510589,0.05663338950864253,2,2.8079473027967223,191,0.0009085359635004706,0.0366825002635283,18,0.34060303041542717,0.7759860242016414,0.20196486250012338,0.23310960746036027,0.40275087976350454,,COMPLETE
14,0.39367131599855415,2026-08-25 21:52:16.545403,2026-08-25 21:52:23.872026,0 days 00:00:07.326623,0.9434972199543381,1.9523256060577792,0.42748638707314685,0.05180211625134621,2,1.1219511759265892,311,0.0003736657318192897,0.047502581982417025,9,0.8782141588013295,0.7204740429859964,0.12206851804997616,0.2363186589264546,0.3861939010002995,,COMPLETE
15,0.3716296879856956,2026-08-25 21:52:23.914844,2026-08-25 21:52:41.669850,0 days 00:00:17.755006,0.6847684788524869,1.782183323668962,0.620887865917048,0.03659941897666373,2,0.4434179012482147,517,0.0003049664331327767,0.09101750328816406,26,0.48348004992238025,0.7638577063312362,0.29586793473329936,0.2319473316296733,0.40869175604432484,,COMPLETE
16,0.36956803915842507,2026-08-25 21:52:41.716713,2026-08-25 21:52:54.147393,0 days 00:00:12.430680,0.6467874244396425,1.8254073991555495,0.5508858235084177,0.0801698462428646,2,3.3251495415169607,460,0.017388216934268213,0.6737910478300962,17,0.7506043557504942,0.7680129302571872,0.2071338083333103,0.23876997682379608,0.3733939162937583,,COMPLETE
17,0.35868261591129813,2026-08-25 21:52:54.191926,2026-08-25 21:53:03.482918,0 days 00:00:09.290992,0.8738424138476154,1.397785185213323,0.8297450443196194,0.08666645199674511,2,2.053005503960287,319,2.4494056660282725e-06,3.0061115087178387,12,0.4380426621448741,0.8127517644870772,0.15480163471656852,0.2328255617911606,0.4042054973612561,,COMPLETE
18,0.3504128567267683,2026-08-25 21:53:03.579911,2026-08-25 21:53:15.490552,0 days 00:00:11.910641,0.6082992548220417,1.066665538229154,0.6170536399357861,0.0435420720563491,2,1.9925792615816769,570,1.5924272329023443e-05,0.8167272267613543,16,0.6675561288549803,0.7686453319597328,0.19845883125041533,0.2304393867259474,0.4163552354972895,,COMPLETE
19,0.37903678548253006,2026-08-25 21:53:15.532390,2026-08-25 21:53:31.288797,0 days 00:00:15.756407,0.7920082313380955,1.9609652826588515,0.7298826727515006,0.07290513525203907,3,2.6875596039943686,435,0.009961732496686396,0.03692843765401411,20,0.7395403807265438,0.7582340207612557,0.2625463138829218,0.22630609546819155,0.43710463069240213,,COMPLETE
20,0.40761671718471715,2026-08-25 21:53:31.398454,2026-08-25 21:53:45.919378,0 days 00:00:14.520924,0.8434936117767511,1.8129853281811457,0.816021387674465,0.022932721878807343,3,1.2827528642288817,165,3.91398337747516e-06,0.045430939062771146,20,0.5872400369217503,0.7802879788180335,0.2419147319335025,0.2458768762157439,0.3355373920559044,,COMPLETE
21,0.36035007903909916,2026-08-25 21:53:46.004112,2026-08-25 21:53:56.721817,0 days 00:00:10.717705,0.6043561277980972,0.8868520565691546,0.5829759830113654,0.05530788444057645,2,0.827579689747038,567,3.423655847591124e-05,0.20527555732200883,13,0.6511927970537835,0.8506220116209722,0.17857571943362321,0.23394943497787402,0.3984396908112606,,COMPLETE
22,0.36062995141727183,2026-08-25 21:53:56.772039,2026-08-25 21:54:08.282148,0 days 00:00:11.510109,0.657053436808537,0.9090435569022175,0.7506162124804504,0.03570701829468623,3,7.992611487091008,554,0.00022766435324025362,3.8280558645655915,13,0.40687450225237737,0.7769197915381112,0.19177941388334147,0.22820762196451824,0.4276054849951345,,COMPLETE
23,0.37909663268349414,2026-08-25 21:54:08.378952,2026-08-25 21:54:18.990863,0 days 00:00:10.611911,0.6205196835162954,1.306417576984283,0.3360132565511647,0.027967009938013657,3,6.82321136851468,494,3.069425052411333e-06,0.17256779888797494,12,0.7739104786652345,0.72575046715303,0.1768144472167478,0.22824067906900913,0.4274396441210644,,COMPLETE
24,0.37552432248411516,2026-08-25 21:54:19.044832,2026-08-25 21:54:34.514334,0 days 00:00:15.469502,0.690963265238985,1.0320427917314785,0.6393536382509872,0.07799806041158534,3,1.4820607469345357,540,1.622724177789737e-06,5.432918359485116,17,1.138623602102156,0.7245647068462805,0.2576247756999995,0.23839423490826017,0.37536448998783967,,COMPLETE
25,0.3496090394275543,2026-08-25 21:54:34.736901,2026-08-25 21:54:49.027960,0 days 00:00:14.291059,0.6028394152889012,1.993097557595366,0.8158225613012781,0.0612830793512583,2,1.4653213605880475,323,3.000130743834134e-05,1.5415015418018811,18,0.6261958829777632,0.7467390745017682,0.2379590618002112,0.22818623049512599,0.42771278891223097,,COMPLETE
26,0.36125709710337056,2026-08-25 21:54:49.107668,2026-08-25 21:55:00.585509,0 days 00:00:11.477841,0.674246810602714,1.8826804687362615,0.943990573628215,0.09835420197450483,2,0.3589543426966512,193,0.00021413039260021607,0.7894045366666966,16,0.8878764173921625,0.792750455024994,0.19120748471662713,0.2372505074345502,0.38134365345035703,,COMPLETE
27,0.35234227860934464,2026-08-25 21:55:00.666110,2026-08-25 21:55:16.516234,0 days 00:00:15.850124,0.6185302867534623,1.805145021690851,0.6818518566185559,0.050354622299995065,2,1.0098686767988954,327,6.337465406061832e-05,2.9515404990859304,24,0.5682549162788554,0.7832239007579396,0.26411751874984474,0.22683047525562192,0.43449300922749945,,COMPLETE
28,0.35366188032925766,2026-08-25 21:55:16.556268,2026-08-25 21:55:26.712221,0 days 00:00:10.155953,0.6140215345435186,1.7320141960865922,0.5844361620869696,0.06998573210774874,2,0.585412132942598,359,1.2721957441008483e-05,1.5457532061960733,14,0.3522747710178493,0.7104764899364308,0.16921580278334053,0.23009621652367032,0.4180922680353276,,COMPLETE
29,0.37228699802975096,2026-08-25 21:55:26.790418,2026-08-25 21:55:38.046607,0 days 00:00:11.256189,0.6029690786373387,1.9871524517338537,0.9135254565114901,0.047426204668122335,3,0.4431178914025746,378,5.5866234659011254e-05,0.06847556052099023,15,0.5386306543077285,0.9051095230754429,0.18755306526679003,0.23509570339029306,0.3925303894821026,,COMPLETE
