number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
40,0.2826100722773906,0.6500025493014431,1.6640035759428722,0.593244317324516,0.1127162745099258,3,0.6136676939709093,1072,0.36406021300812125,0.1572367938073353,15,0.4464331507384337,0.8585551024070011,46.42505658301525,0.17492812823166817,0.2826100722773906,4869.989458444111,0.2218805995518154,0.45890460976766534,8244.662624079874,0.7799283051165473,0.24291789090230076,0.982607926019397,COMPLETE
41,0.2899344505174585,0.6494500398226184,1.7021748378533241,0.23735080150630206,0.07912379990731637,3,1.2196658892584658,1067,0.2135769844647039,1.1148626629739642,15,0.4599607998908799,0.8547603066920864,52.78967758300132,0.17724310704023655,0.2899344505174585,4892.154309955977,0.22679591590316528,0.4346653147043885,8427.306465359197,0.7973845588259706,0.2525541384571728,1.022959203396532,COMPLETE
42,0.29058580673326717,0.6956931794524739,1.6794572012662916,0.851835518914849,0.11436904283331681,3,2.1390347343284617,1040,0.8030419501755474,0.12472511567523849,11,0.6720168605680473,0.9168498435966626,38.20684358300059,0.17850302990173697,0.29058580673326717,4878.359025349564,0.2275471159410922,0.43091407647647406,8455.219635273168,0.8712597835487416,0.2521547631686999,1.0218522708829463,COMPLETE
43,0.2926731055368261,0.7015517732551428,1.6104831827939308,0.5126984824267139,0.10016052257058744,4,0.14761500843289527,963,0.03837100871333339,0.11758466287073002,19,0.7568154697186769,0.8732917936285064,57.325202124979114,0.18108215892122173,0.2926731055368261,4958.193287369977,0.22952600851002886,0.4209727788491655,8528.751533208982,0.8246200462571136,0.25258838810718887,1.024677356225154,COMPLETE
44,0.2855956866629312,0.5823891973889584,1.9974638296093967,0.308667670532875,0.05407785421630345,3,0.4796924275341255,965,0.003924251396291586,0.13906039619695068,11,1.0245357569512366,0.7135529067598205,44.896701874997234,0.17644232513721045,0.2855956866629312,4788.097193269648,0.22381232057830888,0.44944190446634336,8316.441716886771,0.8133146712732665,0.24713346433848926,1.0035198122582991,COMPLETE
45,0.29418952798932835,0.7211467418647518,1.56034990461802,0.33714773736237974,0.06856245621625728,4,0.24263497400621975,1020,8.826944040287364e-05,0.4917197218387022,14,0.8873973984600086,0.669714009453547,62.24348404200282,0.18275714926307354,0.29418952798932835,5070.647258645772,0.2311922287842013,0.4125354885681233,8590.66512117342,0.857156619198839,0.25198919682050824,1.0192892353174137,COMPLETE
46,0.28264567181004946,0.7234839849513449,1.4656991055045778,0.17301557934176245,0.026446154507292343,3,0.10528328018206015,744,0.3196656285497431,0.014719808506973797,11,0.38428904744584125,0.8514934357814561,39.18677045800723,0.1720340981468947,0.28264567181004946,4764.582775351339,0.22092307875978578,0.4635647030014669,8209.0829659134,0.7278787279812204,0.24689037220105475,0.999086223475235,COMPLETE
47,0.28312366465088895,0.686860254280615,1.488775777905426,0.1357872688552227,0.018877169523693397,3,0.12612186824210245,730,0.7652416979143352,0.027850123053280967,12,0.3145018227592886,0.8172888575226189,39.37244049998117,0.17120142720847786,0.28312366465088895,4795.021341538901,0.2208873544641078,0.463738177170248,8207.755518782182,0.6735657556455946,0.24894524074712465,1.0080079327094948,COMPLETE
48,0.2856830164218632,0.7514175973596747,1.9918574917411216,0.23284729072922217,0.021630692235484743,3,0.30950051163484493,480,0.07258949773040495,0.01181353154345715,11,0.35767359261487025,0.7380748836477119,30.938014999992447,0.17292777015808358,0.2856830164218632,4827.295404531593,0.22291109865284106,0.4538668266972177,8282.954017917531,0.6206764663741239,0.2510876710760887,1.0170674308275067,COMPLETE
49,0.2847633689464771,0.5026812189625167,1.6518342914317818,0.17690221073782078,0.017628288298352588,2,1.8962027965394872,1187,0.05658502293415994,0.02332152554870008,11,0.6037160681130294,0.8098987581657837,36.091209209000226,0.1702787880006586,0.2847633689464771,4782.713116144519,0.22210367873041004,0.4578160261328599,8252.951823629923,0.686604675298026,0.2506387608642681,1.0079150794726461,COMPLETE
50,0.28947710255564485,0.6428605663309079,0.8910031403624306,0.24702266868479072,0.0395715822554219,3,0.13651113737667603,916,0.05709109864775839,0.03911100204850007,20,0.420789320852372,0.8479530005132919,56.03107362499577,0.1795609709759319,0.28947710255564485,4942.428309731608,0.22701014804195674,0.4335967764101615,8435.266925674963,0.8013935925657508,0.24986781805475242,1.0156886122134654,COMPLETE
51,0.2856694304608106,0.5364942289498498,1.5570158031265116,0.13404063745246614,0.02730212467916583,3,5.7385566557947625,1089,0.06166732554958231,0.16783754407907914,16,0.5580552496942687,0.7877122596441566,51.512239375006175,0.1753005073390288,0.2856694304608106,4834.093212572642,0.2237243318446247,0.4498747080509612,8313.17222227836,0.783210382604191,0.24778039446474368,1.0030184205416803,COMPLETE
52,0.2884418852899738,0.4567719344619664,1.9307517740813194,0.0973021162018286,0.01584332055919763,3,0.7338407373622966,1023,5.135805393861767e-06,0.07413559243829405,14,0.5671323399529482,0.8337129930969969,46.29693050001515,0.1752680963831121,0.2884418852899738,4917.747459910564,0.22554509667781122,0.44088395857422524,8380.828393199721,0.723902138969073,0.25158715444865026,1.0157115641050807,COMPLETE
